17,0,"1,182.00","2,440.00","1,182.00","2,440.00",96,58,---,,,,,,,,,,,,,,,,,
18,"2,075.00","1,124.00","2,075.00","1,182.00","2,440.00",58,"2,075.00",|,,,,,,,,,,,,,,,,,
19,"1,976.00","1,182.00","1,976.00","1,220.00","2,440.00",38,"1,976.00",|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 14,338.0)   14,338.0",,,,,,Count of cuts   (1 x 19)   19,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5835,,,,,,,,,,0,,,,0,,,"2,075.00",,,58,,,
2,,6087,,,,,,,,,,0,,,,58,,,"2,075.00",,,58,,,
3,,5305,,,,,,,,,,0,,,,116,,,"2,075.00",,,58,,,
4,,6478,,,,,,,,,,0,,,,174,,,700,,,208.5,,,
5,,7309,,,,,,,,,,700,,,,174,,,699,,,208.5,,,
6,,29745,,,,,,,,,,0,,,,382.5,,,381,,,398.5,,,*
7,,31300,,,,,,,,,,381,,,,382.5,,,381,,,398.5,,,*
8,,7413,,,,,,,,,,762,,,,382.5,,,372,,,195,,,*
9,,5388,,,,,,,,,,762,,,,577.5,,,372,,,195,,,*
10,,5070,,,,,,,,,,0,,,,781,,,699,,,208.5,,,
11,,7337,,,,,,,,,,699,,,,781,,,700,,,208.5,,,
12,,7486,,,,,,,,,,0,,,,989.5,,,699,,,208.5,,,
13,,6069,,*,,,,,*,,,699,,,,989.5,,,699,,,208.5,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,075.00",,,,0,,"2,075.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,075.00",,,|,,
2,,0,,,,58,,"2,075.00",,,58,,,"2,075.00",,,"1,220.00",,,58,,,---,,
3,,0,,,,116,,"2,075.00",,,116,,,"2,075.00",,,"1,162.00",,,58,,,---,,
4,,0,,,,174,,"2,075.00",,,174,,,"2,075.00",,,"1,104.00",,,58,,,---,,
5,,0,,,,382.5,,"2,075.00",,,382.5,,,"2,075.00",,,"1,046.00",,,208.5,,,---,,
6,,700,,,,174,,700,,,382.5,,,"2,075.00",,,208.5,,,700,,,|,,
7,,"1,399.00",,,,174,,"1,399.00",,,382.5,,,"1,375.00",,,208.5,,,699,,,|,,
8,,0,,,,781,,"2,075.00",,,781,,,"2,075.00",,,837.5,,,398.5,,,---,,
9,,381,,,,382.5,,381,,,781,,,"2,075.00",,,398.5,,,381,,,|,,
10,,762,,,,382.5,,762,,,781,,,"1,694.00",,,398.5,,,381,,,|,,
11,"1,134.00",382.5,"1,134.00",781,"1,313.00",398.5,372,|,,,,,,,,,,,,,,,,,
12,762,577.5,"1,134.00",577.5,372,398.5,195,---,,,,,,,,,,,,,,,,,
13,762,772.5,"1,134.00",772.5,372,203.5,195,---,,,,,,,,,,,,,,,,,
14,0,989.5,"2,075.00",989.5,"2,075.00",439,208.5,---,,,,,,,,,,,,,,,,,
15,699,781,699,989.5,"2,075.00",208.5,699,|,,,,,,,,,,,,,,,,,
16,"1,399.00",781,"1,399.00",989.5,"1,376.00",208.5,700,|,,,,,,,,,,,,,,,,,
17,0,"1,198.00","2,075.00","1,198.00","2,075.00",230.5,208.5,---,,,,,,,,,,,,,,,,,
18,699,989.5,699,"1,198.00","2,075.00",208.5,699,|,,,,,,,,,,,,,,,,,
19,"1,398.00",989.5,"1,398.00","1,198.00","1,376.00",208.5,699,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 18,935.5)   18,935.5",,,,,,Count of cuts   (1 x 19)   19,,,,,,,,,,,,,,,,,,,
