8,0,,,986.5,498,,,986.5,,498,,326,,92.5,,---,,,,,,,
9,491,,,894,491,,,986.5,,498,,92.5,,491,,|,,,,,,,
10,0,,,"1,079.00",498,,,"1,079.00",,498,,233.5,,92.5,,---,,,,,,,
11,491,,,986.5,491,,,"1,079.00",,498,,92.5,,491,,|,,,,,,,
12,0,,,"1,171.50",498,,,"1,171.50",,498,,141,,92.5,,---,,,,,,,
13,491,,,"1,079.00",491,,,"1,171.50",,498,,92.5,,491,,|,,,,,,,
14,616,,,0,616,,,"1,220.00",,"1,942.00",,"1,220.00",,118,,|,,,,,,,
15,498,,,288,616,,,288,,118,,"1,220.00",,288,,---,,,,,,,
16,498,,,576,616,,,576,,118,,932,,288,,---,,,,,,,
17,498,,,"1,185.00",616,,,"1,185.00",,118,,644,,609,,---,,,,,,,
18,590.5,,,576,590.5,,,"1,185.00",,118,,609,,92.5,,|,,,,,,,
19,905,,,0,905,,,"1,220.00",,"1,824.00",,"1,220.00",,289,,|,,,,,,,
20,616,,,492,905,,,492,,289,,"1,220.00",,492,,---,,,,,,,
21,616,,,984,905,,,984,,289,,728,,492,,---,,,,,,,
22,616,,,"1,102.00",905,,,"1,102.00",,289,,236,,118,,---,,,,,,,
23,904,,,984,904,,,"1,102.00",,289,,118,,288,,|,,,,,,,
24,904,,,"1,102.00",904,,,"1,220.00",,289,,118,,288,,|,,,,,,,
25,"1,515.00",,,0,"1,515.00",,,"1,220.00",,"1,535.00",,"1,220.00",,610,,|,,,,,,,
26,905,,,499,"1,515.00",,,499,,610,,"1,220.00",,499,,---,,,,,,,
27,905,,,998,"1,515.00",,,998,,610,,721,,499,,---,,,,,,,
28,905,,,"1,170.50","1,515.00",,,"1,170.50",,610,,222,,172.5,,---,,,,,,,
29,"1,514.00",,,998,"1,514.00",,,"1,170.50",,610,,172.5,,609,,|,,,,,,,
30,"2,014.00",,,0,"2,014.00",,,"1,220.00",,925,,"1,220.00",,499,,|,,,,,,,
31,"1,515.00",,,610,"2,014.00",,,610,,499,,"1,220.00",,610,,---,,,,,,,
32,"1,515.00",,,768,"2,014.00",,,768,,499,,610,,158,,---,,,,,,,
33,"2,013.00",,,610,"2,013.00",,,768,,499,,158,,498,,|,,,,,,,
34,"1,515.00",,,966,"2,014.00",,,966,,499,,452,,198,,---,,,,,,,
35,"2,013.00",,,768,"2,013.00",,,966,,499,,198,,498,,|,,,,,,,
36,"1,515.00",,,"1,124.00","2,014.00",,,"1,124.00",,499,,254,,158,,---,,,,,,,
37,"2,013.00",,,966,"2,013.00",,,"1,124.00",,499,,158,,498,,|,,,,,,,
38,"1,515.00",,,"1,216.50","2,014.00",,,"1,216.50",,499,,96,,92.5,,---,,,,,,,
39,"2,006.00",,,"1,124.00","2,006.00",,,"1,216.50",,499,,92.5,,491,,|,,,,,,,
40,"2,094.00",,,0,"2,094.00",,,"1,220.00",,426,,"1,220.00",,80,,|,,,,,,,
41,"2,014.00",,,900,"2,094.00",,,900,,80,,"1,220.00",,900,,---,,,,,,,
42,"2,212.00",,,0,"2,212.00",,,"1,220.00",,346,,"1,220.00",,118,,|,,,,,,,
43,"2,094.00",,,288,"2,212.00",,,288,,118,,"1,220.00",,288,,---,,,,,,,
44,"2,094.00",,,576,"2,212.00",,,576,,118,,932,,288,,---,,,,,,,
45,"2,094.00",,,864,"2,212.00",,,864,,118,,644,,288,,---,,,,,,,
46,"2,094.00",,,"1,152.00","2,212.00",,,"1,152.00",,118,,356,,288,,---,,,,,,,
47,"2,344.50",,,0,"2,344.50",,,"1,220.00",,228,,"1,220.00",,132.5,,|,,,,,,,
48,,"2,212.00",,,,609,,"2,344.50",,,609,,,132.5,,,"1,220.00",,,609,,,---
49,,"2,212.00",,,,"1,107.00",,"2,344.50",,,"1,107.00",,,132.5,,,611,,,498,,,---
50,,"2,330.00",,,,609,,"2,330.00",,,"1,107.00",,,132.5,,,498,,,118,,,|
51,,"2,424.50",,,,0,,"2,424.50",,,"1,220.00",,,95.5,,,"1,220.00",,,80,,,|
52,,"2,344.50",,,,900,,"2,424.50",,,900,,,80,,,"1,220.00",,,900,,,---
,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 23,886.5)   23,886.5",,,,,,,,,,,,,,,Count of cuts   (1 x 52)   52,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat
2 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,
,,,,,,,,,,,,,,,,,,,,,,,
1,,22986,,,,,,,,,,0,,,,0,,,"1,570.00",,,80,
2,,26690,,,,,,,,,,0,,,,80,,,"1,570.00",,,80,
3,,23358,,*,,,,,*,,,0,,,,160,,,"2,420.00",,,80,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,80,,"2,440.00",,,80,,,"2,440.00",,,"1,220.00",,,80,,,---
2,,"1,570.00",,,,0,,"1,570.00",,,80,,,"2,440.00",,,80,,,"1,570.00",,,|
3,,0,,,,160,,"2,440.00",,,160,,,"2,440.00",,,"1,140.00",,,80,,,---
4,,"1,570.00",,,,80,,"1,570.00",,,160,,,"2,440.00",,,80,,,"1,570.00",,,|
5,,0,,,,240,,"2,440.00",,,240,,,"2,440.00",,,"1,060.00",,,80,,,---
6,,"2,420.00",,,,160,,"2,420.00",,,240,,,"2,440.00",,,80,,,"2,420.00",,,|
,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,560.0)   7,560.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,
