4,,26295,,,,,,,,,,"2,370.5",,,,0.0,,,48.0,,,291.5,,,*,,
5,,26919,,,,,,,,,,"2,370.5",,,,291.5,,,48.0,,,291.5,,,*,,
6,,26364,,,,,,,,,,"2,370.5",,,,583.0,,,48.0,,,291.5,,,*,,
7,,23908,,,,,,,,,,"2,370.5",,,,874.5,,,48.0,,,291.5,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,370.5",,,,0.0,,"2,370.5",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,370.5",,,|,,,
2,,0.0,,,,408.5,,"2,370.5",,,408.5,,,"2,370.5",,,"1,220.0",,,408.5,,,---,,,
3,,0.0,,,,817.0,,"2,370.5",,,817.0,,,"2,370.5",,,811.5,,,408.5,,,---,,,
4,,0.0,,,,"1,215.0",,"2,370.5",,,"1,215.0",,,"2,370.5",,,403.0,,,398.0,,,---,,,
5,,"2,365.5",,,,817.0,,"2,365.5",,,"1,215.0",,,"2,370.5",,,398.0,,,"2,365.5",,,|,,,
6,,"2,418.5",,,,0.0,,"2,418.5",,,"1,220.0",,,69.5,,,"1,220.0",,,48.0,,,|,,,
7,,"2,370.5",,,,291.5,,"2,418.5",,,291.5,,,48.0,,,"1,220.0",,,291.5,,,---,,,
8,,"2,370.5",,,,583.0,,"2,418.5",,,583.0,,,48.0,,,928.5,,,291.5,,,---,,,
9,,"2,370.5",,,,874.5,,"2,418.5",,,874.5,,,48.0,,,637.0,,,291.5,,,---,,,
10,,"2,370.5",,,,"1,166.0",,"2,418.5",,,"1,166.0",,,48.0,,,345.5,,,291.5,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,141.5)   10,141.5",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
3 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24385,,,,,,,,,,0.0,,,,0.0,,,188.0,,,525.5,,,*,,
2,,25790,,,,,,,,,,188.0,,,,0.0,,,188.0,,,525.5,,,*,,
3,,26304,,,,,,,,,,376.0,,,,0.0,,,"1,934.0",,,521.0,,,,,
4,,26121,,,,,,,,,,"2,310.0",,,,0.0,,,118.0,,,517.0,,,*,,
5,,22861,,,,,,,,,,0.0,,,,525.5,,,"1,934.0",,,521.0,,,,,
6,,26227,,,,,,,,,,"1,934.0",,,,525.5,,,475.0,,,511.0,,,*,,
7,,24026,,,,,,,,,,0.0,,,,"1,046.5",,,684.0,,,172.0,,,,,
8,,26946,,,,,,,,,,684.0,,,,"1,046.5",,,845.0,,,163.0,,,,,
9,,24101,,,,,,,,,,"1,529.0",,,,"1,046.5",,,535.0,,,161.5,,,,,
10,,24103,,,,,,,,,,"2,064.0",,,,"1,046.5",,,367.0,,,161.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,525.5,,"2,440.0",,,525.5,,,"2,440.0",,,"1,220.0",,,525.5,,,---,,,
2,,188.0,,,,0.0,,188.0,,,525.5,,,"2,440.0",,,525.5,,,188.0,,,|,,,
3,,376.0,,,,0.0,,376.0,,,525.5,,,"2,252.0",,,525.5,,,188.0,,,|,,,
4,,"2,310.0",,,,0.0,,"2,310.0",,,525.5,,,"2,064.0",,,525.5,,,"1,934.0",,,|,,,
5,,376.0,,,,521.0,,"2,310.0",,,521.0,,,"1,934.0",,,525.5,,,521.0,,,---,,,
6,,"2,428.0",,,,0.0,,"2,428.0",,,525.5,,,130.0,,,525.5,,,118.0,,,|,,,
7,,"2,310.0",,,,517.0,,"2,428.0",,,517.0,,,118.0,,,525.5,,,517.0,,,---,,,
8,,0.0,,,,"1,046.5",,"2,440.0",,,"1,046.5",,,"2,440.0",,,694.5,,,521.0,,,---,,,
9,,"1,934.0",,,,525.5,,"1,934.0",,,"1,046.5",,,"2,440.0",,,521.0,,,"1,934.0",,,|,,,
10,,"2,409.0",,,,525.5,,"2,409.0",,,"1,046.5",,,506.0,,,521.0,,,475.0,,,|,,,
11,,"1,934.0",,,,"1,036.5",,"2,409.0",,,"1,036.5",,,475.0,,,521.0,,,511.0,,,---,,,
12,,684.0,,,,"1,046.5",,684.0,,,"1,220.0",,,"2,440.0",,,173.5,,,684.0,,,|,,,
13,,0.0,,,,"1,218.5",,684.0,,,"1,218.5",,,684.0,,,173.5,,,172.0,,,---,,,
14,,"1,529.0",,,,"1,046.5",,"1,529.0",,,"1,220.0",,,"1,756.0",,,173.5,,,845.0,,,|,,,
15,,684.0,,,,"1,209.5",,"1,529.0",,,"1,209.5",,,845.0,,,173.5,,,163.0,,,---,,,
16,,"2,064.0",,,,"1,046.5",,"2,064.0",,,"1,220.0",,,911.0,,,173.5,,,535.0,,,|,,,
17,,"1,529.0",,,,"1,208.0",,"2,064.0",,,"1,208.0",,,535.0,,,173.5,,,161.5,,,---,,,
18,,"2,431.0",,,,"1,046.5",,"2,431.0",,,"1,220.0",,,376.0,,,173.5,,,367.0,,,|,,,
19,,"2,064.0",,,,"1,207.5",,"2,431.0",,,"1,207.5",,,367.0,,,173.5,,,161.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,676.0)   13,676.0",,,,,,,,,,,,,,,Count of cuts   (1 x 19)   19,,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
4 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25373,,,,,,,,,,0.0,,,,0.0,,,"2,366.0",,,380.0,,,,,
2,,26618,,,,,,,,,,0.0,,,,380.0,,,"2,365.5",,,413.7,,,,,
3,,23292,,,,,,,,,,0.0,,,,793.7,,,"2,365.5",,,413.7,,,,,
4,,23558,,,,,,,,,,"2,366.0",,,,0.0,,,48.0,,,773.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,366.0",,,,0.0,,"2,366.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,366.0",,,|,,,
2,,0.0,,,,380.0,,"2,366.0",,,380.0,,,"2,366.0",,,"1,220.0",,,380.0,,,---,,,
3,,0.0,,,,793.7,,"2,366.0",,,793.7,,,"2,366.0",,,840.0,,,413.7,,,---,,,
4,,"2,365.5",,,,380.0,,"2,365.5",,,793.7,,,"2,366.0",,,413.7,,,"2,365.5",,,|,,,
5,,0.0,,,,"1,207.4",,"2,366.0",,,"1,207.4",,,"2,366.0",,,426.3,,,413.7,,,---,,,
6,,"2,365.5",,,,793.7,,"2,365.5",,,"1,207.4",,,"2,366.0",,,413.7,,,"2,365.5",,,|,,,
7,,"2,414.0",,,,0.0,,"2,414.0",,,"1,220.0",,,74.0,,,"1,220.0",,,48.0,,,|,,,
8,,"2,366.0",,,,773.0,,"2,414.0",,,773.0,,,48.0,,,"1,220.0",,,773.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,413.4)   10,413.4",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
5 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24315,,,,,,,,,,0.0,,,,0.0,,,583.5,,,435.0,,,,
2,,27304,,,,,,,,,,583.5,,,,0.0,,,"1,314.5",,,435.0,,,,
3,,27035,,,,,,,,,,"1,898.0",,,,0.0,,,542.0,,,141.5,,,,
4,,24552,,,,,,,,,,"1,898.0",,,,141.5,,,542.0,,,141.5,,,,
5,,26470,,,,,,,,,,"1,898.0",,,,283.0,,,542.0,,,141.5,,,,
6,,24523,,,,,,,,,,0.0,,,,435.0,,,"2,365.5",,,398.0,,,,
7,,24419,,,,,,,,,,0.0,,,,833.0,,,"2,393.0",,,38.0,,,,
8,,23131,,,,,,,,,,0.0,,,,871.0,,,"2,187.0",,,344.0,,,,
9,,24561,,,,,,,,,,"2,187.0",,,,871.0,,,202.0,,,243.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,435.0,,"2,440.0",,,435.0,,,"2,440.0",,,"1,220.0",,,435.0,,,---,,
2,,583.5,,,,0.0,,583.5,,,435.0,,,"2,440.0",,,435.0,,,583.5,,,|,,
3,,"1,898.0",,,,0.0,,"1,898.0",,,435.0,,,"1,856.5",,,435.0,,,"1,314.5",,,|,,
4,,"1,898.0",,,,141.5,,"2,440.0",,,141.5,,,542.0,,,435.0,,,141.5,,,---,,
5,,"1,898.0",,,,283.0,,"2,440.0",,,283.0,,,542.0,,,293.5,,,141.5,,,---,,
6,,"1,898.0",,,,424.5,,"2,440.0",,,424.5,,,542.0,,,152.0,,,141.5,,,---,,
7,,0.0,,,,833.0,,"2,440.0",,,833.0,,,"2,440.0",,,785.0,,,398.0,,,---,,
8,,"2,365.5",,,,435.0,,"2,365.5",,,833.0,,,"2,440.0",,,398.0,,,"2,365.5",,,|,,
9,,0.0,,,,871.0,,"2,440.0",,,871.0,,,"2,440.0",,,387.0,,,38.0,,,---,,
10,,"2,393.0",,,,833.0,,"2,393.0",,,871.0,,,"2,440.0",,,38.0,,,"2,393.0",,,|,,
11,,0.0,,,,"1,215.0",,"2,440.0",,,"1,215.0",,,"2,440.0",,,349.0,,,344.0,,,---,,
12,,"2,187.0",,,,871.0,,"2,187.0",,,"1,215.0",,,"2,440.0",,,344.0,,,"2,187.0",,,|,,
13,,"2,389.0",,,,871.0,,"2,389.0",,,"1,215.0",,,253.0,,,344.0,,,202.0,,,|,,
14,,"2,187.0",,,,"1,114.0",,"2,389.0",,,"1,114.0",,,202.0,,,344.0,,,243.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,582.0)   13,582.0",,,,,,,,,,,,,,,Count of cuts   (1 x 14)   14,,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
6 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,26435,,,,,,,,,,0.0,,,,0.0,,,"2,370.5",,,408.5,,,,,
2,,23048,,,,,,,,,,0.0,,,,408.5,,,"2,366.0",,,348.0,,,,,
3,,23045,,,,,,,,,,0.0,,,,756.5,,,"2,438.0",,,38.0,,,,,
4,,24447,,,,,,,,,,0.0,,,,794.5,,,"1,607.0",,,420.0,,,,,
5,,25799,,,,,,,,,,"1,607.0",,,,794.5,,,585.5,,,413.8,,,,,
6,,26285,,,,,,,,,,"2,192.5",,,,794.5,,,225.5,,,375.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,408.5,,"2,440.0",,,408.5,,,"2,440.0",,,"1,220.0",,,408.5,,,---,,,
2,,"2,370.5",,,,0.0,,"2,370.5",,,408.5,,,"2,440.0",,,408.5,,,"2,370.5",,,|,,,
3,,0.0,,,,756.5,,"2,440.0",,,756.5,,,"2,440.0",,,811.5,,,348.0,,,---,,,
4,,"2,366.0",,,,408.5,,"2,366.0",,,756.5,,,"2,440.0",,,348.0,,,"2,366.0",,,|,,,
5,,0.0,,,,794.5,,"2,440.0",,,794.5,,,"2,440.0",,,463.5,,,38.0,,,---,,,
6,,"2,438.0",,,,756.5,,"2,438.0",,,794.5,,,"2,440.0",,,38.0,,,"2,438.0",,,|,,,
7,,0.0,,,,"1,214.5",,"2,440.0",,,"1,214.5",,,"2,440.0",,,425.5,,,420.0,,,---,,,
8,,"1,607.0",,,,794.5,,"1,607.0",,,"1,214.5",,,"2,440.0",,,420.0,,,"1,607.0",,,|,,,
9,,"2,192.5",,,,794.5,,"2,192.5",,,"1,214.5",,,833.0,,,420.0,,,585.5,,,|,,,
10,,"1,607.0",,,,"1,208.3",,"2,192.5",,,"1,208.3",,,585.5,,,420.0,,,413.8,,,---,,,
11,,"2,418.0",,,,794.5,,"2,418.0",,,"1,214.5",,,247.5,,,420.0,,,225.5,,,|,,,
12,,"2,192.5",,,,"1,169.5",,"2,418.0",,,"1,169.5",,,225.5,,,420.0,,,375.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 12,625.5)   12,625.5",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
7 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,26492,,,,,,,,,,0.0,,,,0.0,,,"2,365.5",,,445.0,,,,
2,,25023,,,,,,,,,,0.0,,,,445.0,,,"2,370.5",,,408.5,,,,
3,,25226,,,,,,,,,,0.0,,,,853.5,,,"2,438.0",,,38.0,,,,
4,,25899,,,,,,,,,,0.0,,,,891.5,,,"2,438.0",,,38.0,,,,
5,,25393,,,,,,,,,,0.0,,,,929.5,,,535.0,,,161.0,,,,
6,,26895,,,,,,,,,,535.0,,,,929.5,,,534.5,,,161.0,,,,
7,,24468,,,,,,,,,,"1,069.5",,,,929.5,,,845.0,,,154.0,,,,
8,,24541,,,,,,,,,,"1,914.5",,,,929.5,,,499.5,,,141.5,,,,
9,,24974,,,,,,,,,,0.0,,,,"1,090.5",,,"2,393.0",,,38.0,,,,
10,,23065,,,,,,,,,,0.0,,,,"1,128.5",,,"2,438.0",,,38.0,,,,
11,,26101,,,,,,,,,,0.0,,,,"1,166.5",,,773.0,,,48.0,,,,
12,,23219,,,,,,,,,,773.0,,,,"1,166.5",,,773.0,,,48.0,,,,
13,,23436,,,,,,,,,,"1,546.0",,,,"1,166.5",,,773.0,,,48.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,445.0,,"2,440.0",,,445.0,,,"2,440.0",,,"1,220.0",,,445.0,,,---,,
2,,"2,365.5",,,,0.0,,"2,365.5",,,445.0,,,"2,440.0",,,445.0,,,"2,365.5",,,|,,
3,,0.0,,,,853.5,,"2,440.0",,,853.5,,,"2,440.0",,,775.0,,,408.5,,,---,,
4,,"2,370.5",,,,445.0,,"2,370.5",,,853.5,,,"2,440.0",,,408.5,,,"2,370.5",,,|,,
5,,0.0,,,,891.5,,"2,440.0",,,891.5,,,"2,440.0",,,366.5,,,38.0,,,---,,
6,,"2,438.0",,,,853.5,,"2,438.0",,,891.5,,,"2,440.0",,,38.0,,,"2,438.0",,,|,,
7,,0.0,,,,929.5,,"2,440.0",,,929.5,,,"2,440.0",,,328.5,,,38.0,,,---,,
8,,"2,438.0",,,,891.5,,"2,438.0",,,929.5,,,"2,440.0",,,38.0,,,"2,438.0",,,|,,
9,,0.0,,,,"1,090.5",,"2,440.0",,,"1,090.5",,,"2,440.0",,,290.5,,,161.0,,,---,,
10,,535.0,,,,929.5,,535.0,,,"1,090.5",,,"2,440.0",,,161.0,,,535.0,,,|,,
11,"1,069.5",929.5,"1,069.5","1,090.5","1,905.0",161.0,534.5,|
12,"1,914.5",929.5,"1,914.5","1,090.5","1,370.5",161.0,845.0,|
13,"1,069.5","1,083.5","1,914.5","1,083.5",845.0,161.0,154.0,---
14,"2,414.0",929.5,"2,414.0","1,090.5",525.5,161.0,499.5,|
15,"1,914.5","1,071.0","2,414.0","1,071.0",499.5,161.0,141.5,---
16,0.0,"1,128.5","2,440.0","1,128.5","2,440.0",129.5,38.0,---
17,"2,393.0","1,090.5","2,393.0","1,128.5","2,440.0",38.0,"2,393.0",|
18,0.0,"1,166.5","2,440.0","1,166.5","2,440.0",91.5,38.0,---
19,"2,438.0","1,128.5","2,438.0","1,166.5","2,440.0",38.0,"2,438.0",|
20,0.0,"1,214.5","2,440.0","1,214.5","2,440.0",53.5,48.0,---
21,773.0,"1,166.5",773.0,"1,214.5","2,440.0",48.0,773.0,|
22,"1,546.0","1,166.5","1,546.0","1,214.5","1,667.0",48.0,773.0,|
23,"2,319.0","1,166.5","2,319.0","1,214.5",894.0,48.0,773.0,|
,,,,,,,,
"Sum of cuts   (1 x 22,658.0)   22,658.0",,,,,,Count of cuts   (1 x 23)   23,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
8 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,22942,,,,,,,,,,0.0,,,,0.0,,,"1,607.0",,,420.0,,,,,
2,,25042,,,,,,,,,,0.0,,,,420.0,,,"1,607.0",,,420.0,,,,,
3,,25490,,,,,,,,,,0.0,,,,840.0,,,526.0,,,295.0,,,,,
4,,25856,,,,,,,,,,526.0,,,,840.0,,,526.0,,,295.0,,,,,
5,,25459,,,,,,,,,,"1,052.0",,,,840.0,,,526.0,,,295.0,,,,,
6,,22601,,,,,,,,,,"1,607.0",,,,0.0,,,399.5,,,521.0,,,,,
7,,23221,,,,,,,,,,"1,607.0",,,,521.0,,,366.5,,,315.0,,,*,,
8,,25134,,,,,,,,,,"1,607.0",,,,836.0,,,366.5,,,315.0,,,*,,
9,,26192,,,,,,,,,,"2,006.5",,,,0.0,,,426.0,,,583.5,,,*,,
10,,23088,,,,,,,,,,"2,006.5",,,,583.5,,,413.8,,,585.5,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,607.0",,,,0.0,,"1,607.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,607.0",,,|,,,
2,,0.0,,,,420.0,,"1,607.0",,,420.0,,,"1,607.0",,,"1,220.0",,,420.0,,,---,,,
3,,0.0,,,,840.0,,"1,607.0",,,840.0,,,"1,607.0",,,800.0,,,420.0,,,---,,,
4,,0.0,,,,"1,135.0",,"1,607.0",,,"1,135.0",,,"1,607.0",,,380.0,,,295.0,,,---,,,
5,,526.0,,,,840.0,,526.0,,,"1,135.0",,,"1,607.0",,,295.0,,,526.0,,,|,,,
6,,"1,052.0",,,,840.0,,"1,052.0",,,"1,135.0",,,"1,081.0",,,295.0,,,526.0,,,|,,,
7,,"1,578.0",,,,840.0,,"1,578.0",,,"1,135.0",,,555.0,,,295.0,,,526.0,,,|,,,
8,,"2,006.5",,,,0.0,,"2,006.5",,,"1,220.0",,,833.0,,,"1,220.0",,,399.5,,,|,,,
9,,"1,607.0",,,,521.0,,"2,006.5",,,521.0,,,399.5,,,"1,220.0",,,521.0,,,---,,,
10,,"1,607.0",,,,836.0,,"2,006.5",,,836.0,,,399.5,,,699.0,,,315.0,,,---,,,
11,,"1,973.5",,,,521.0,,"1,973.5",,,836.0,,,399.5,,,315.0,,,366.5,,,|,,,
12,,"1,607.0",,,,"1,151.0",,"2,006.5",,,"1,151.0",,,399.5,,,384.0,,,315.0,,,---,,,
13,,"1,973.5",,,,836.0,,"1,973.5",,,"1,151.0",,,399.5,,,315.0,,,366.5,,,|,,,
14,"2,432.5",0.0,"2,432.5","1,220.0",433.5,"1,220.0",426.0,|
15,"2,006.5",583.5,"2,432.5",583.5,426.0,"1,220.0",583.5,---
16,"2,006.5","1,169.0","2,432.5","1,169.0",426.0,636.5,585.5,---
17,"2,420.3",583.5,"2,420.3","1,169.0",426.0,585.5,413.8,|
,,,,,,,,
"Sum of cuts   (1 x 12,632.0)   12,632.0",,,,,,Count of cuts   (1 x 17)   17,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
9 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25903,,,,,,,,,,0.0,,,,0.0,,,583.5,,,444.0,,,,,
2,,25569,,,,,,,,,,0.0,,,,444.0,,,548.0,,,583.5,,,*,,
