Layout,,,Stock #,,,Description,,,,Remnants,,Length,,Width,,Repeat,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 25,500.5)   25,500.5",,,,,,Count of cuts   (1 x 59)   59,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,Description,,,,Remnants,,Length,,Width,,Repeat,,,,,,,,,
2 of 3,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,X-coord,,Y-coord,,Length,,Width,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23275,,,,,,,0,,0,,453.5,,132.5,,,,,,,,,,
2,,23396,,,,,,,0,,132.5,,439,,462,,*,,,,,,,,
3,,26175,,,,,,,0,,594.5,,439,,419.5,,*,,,,,,,,
4,,27241,,,,,,,0,,"1,014.00",,438,,118,,,,,,,,,,
5,,27128,,,,,,,0,,"1,132.00",,438,,78,,,,,,,,,,
6,,26802,,,,,,,453.5,,0,,489,,604,,*,,,,,,,,
7,,26602,,,,,,,453.5,,604,,461,,52.5,,,,,,,,,,
8,,23041,,,,,,,453.5,,656.5,,461,,52.5,,,,,,,,,,
9,,25589,,,,,,,453.5,,709,,118,,488,,*,,,,,,,,
10,,24583,,,,,,,571.5,,709,,118,,488,,*,,,,,,,,
11,,24980,,,,,,,689.5,,709,,118,,488,,*,,,,,,,,
12,,24301,,,,,,,807.5,,709,,118,,488,,*,,,,,,,,
13,,27143,,,,,,,942.5,,0,,464,,132.5,,,,,,,,,,
14,,26650,,,,,,,942.5,,132.5,,454.5,,239,,,,,,,,,,
15,,25010,,,,,,,942.5,,371.5,,439,,428.5,,*,,,,,,,,
16,,27377,,,,,,,942.5,,800,,439,,419.5,,*,,,,,,,,
17,,23569,,,,,,,"1,406.50",,0,,428.5,,439,,,,,,,,,,
18,,27371,,,,,,,"1,406.50",,439,,389,,366,,*,,,,,,,,
19,,23731,,,,,,,"1,406.50",,805,,376.5,,389,,,,,,,,,,
20,,26120,,,,,,,"1,835.00",,0,,264,,489,,,,,,,,,,
21,,25014,,,,,,,"1,835.00",,489,,239,,465,,*,,,,,,,,
22,,26146,,,,,,,"2,099.00",,0,,92.5,,263,,*,,,,,,,,
23,,25590,,,,,,,"2,099.00",,263,,92.5,,603,,*,,,,,,,,
24,,27101,,,,,,,"2,191.50",,0,,78,,438,,*,,,,,,,,
25,,26674,,,,,,,"2,191.50",,438,,52.5,,764,,*,,,,,,,,
26,,22611,,,,,,,"2,269.50",,0,,78,,438,,*,,,,,,,,
27,,24074,,,,,,,"2,269.50",,,438,,78,,438,,*,,,,,,,
28,,23746,,,,,,,"2,347.50",,,0,,92.5,,656,,*,,,,,,,
29,,25729,,,,,,,"2,347.50",,,656,,78,,438,,*,,,,,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,453.5,,,0,453.5,,,"1,220.00",,"2,440.00",,"1,220.00",,453.5,,|,,,,,,,,,
2,0,,,132.5,453.5,,,132.5,,453.5,,"1,220.00",,132.5,,---,,,,,,,,,
3,0,,,594.5,453.5,,,594.5,,453.5,,"1,087.50",,462,,---,,,,,,,,,
4,439,,,132.5,439,,,594.5,,453.5,,462,,439,,|,,,,,,,,,
5,0,,,"1,014.00",453.5,,,"1,014.00",,453.5,,625.5,,419.5,,---,,,,,,,,,
6,439,,,594.5,439,,,"1,014.00",,453.5,,419.5,,439,,|,,,,,,,,,
7,0,,,"1,132.00",453.5,,,"1,132.00",,453.5,,206,,118,,---,,,,,,,,,
8,438,,,"1,014.00",438,,,"1,132.00",,453.5,,118,,438,,|,,,,,,,,,
9,0,,,"1,210.00",453.5,,,"1,210.00",,453.5,,88,,78,,---,,,,,,,,,
10,438,,,"1,132.00",438,,,"1,210.00",,453.5,,78,,438,,|,,,,,,,,,
11,942.5,,,0,942.5,,,"1,220.00",,"1,986.50",,"1,220.00",,489,,|,,,,,,,,,
12,453.5,,,604,942.5,,,604,,489,,"1,220.00",,604,,---,,,,,,,,,
13,453.5,,,656.5,942.5,,,656.5,,489,,616,,52.5,,---,,,,,,,,,
14,914.5,,,604,914.5,,,656.5,,489,,52.5,,461,,|,,,,,,,,,
15,453.5,,,709,942.5,,,709,,489,,563.5,,52.5,,---,,,,,,,,,
16,914.5,,,656.5,914.5,,,709,,489,,52.5,,461,,|,,,,,,,,,
17,453.5,,,"1,197.00",942.5,,,"1,197.00",,489,,511,,488,,---,,,,,,,,,
18,571.5,,,709,571.5,,,"1,197.00",,489,,488,,118,,|,,,,,,,,,
19,689.5,,,709,689.5,,,"1,197.00",,371,,488,,118,,|,,,,,,,,,
20,807.5,,,709,807.5,,,"1,197.00",,253,,488,,118,,|,,,,,,,,,
21,925.5,,,709,925.5,,,"1,197.00",,135,,488,,118,,|,,,,,,,,,
22,"1,406.50",,,0,"1,406.50",,,"1,220.00",,"1,497.50",,"1,220.00",,464,,|,,,,,,,,,
23,942.5,,,132.5,"1,406.50",,,132.5,,464,,"1,220.00",,132.5,,---,,,,,,,,,
24,942.5,,,371.5,"1,406.50",,,371.5,,464,,"1,087.50",,239,,---,,,,,,,,,
25,"1,397.00",,,132.5,"1,397.00",,,371.5,,464,,239,,454.5,,|,,,,,,,,,
26,942.5,,,800,"1,406.50",,,800,,464,,848.5,,428.5,,---,,,,,,,,,
27,"1,381.50",,,371.5,"1,381.50",,,800,,464,,428.5,,439,,|,,,,,,,,,
28,942.5,,,"1,219.50","1,406.50",,,"1,219.50",,464,,420,,419.5,,---,,,,,,,,,
29,"1,381.50",,,800,"1,381.50",,,"1,219.50",,464,,419.5,,439,,|,,,,,,,,,
30,"1,835.00",,,0,"1,835.00",,,"1,220.00",,"1,033.50",,"1,220.00",,428.5,,|,,,,,,,,,
31,"1,406.50",,,439,"1,835.00",,,439,,428.5,,"1,220.00",,439,,---,,,,,,,,,
32,"1,406.50",,,805,"1,835.00",,,805,,428.5,,781,,366,,---,,,,,,,,,
33,"1,795.50",,,439,"1,795.50",,,805,,428.5,,366,,389,,|,,,,,,,,,
34,"1,406.50",,,"1,194.00","1,835.00",,,"1,194.00",,428.5,,415,,389,,---,,,,,,,,,
35,"1,783.00",,,805,"1,783.00",,,"1,194.00",,428.5,,389,,376.5,,|,,,,,,,,,
36,"2,099.00",,,0,"2,099.00",,,"1,220.00",,605,,"1,220.00",,264,,|,,,,,,,,,
37,"1,835.00",,,489,"2,099.00",,,489,,264,,"1,220.00",,489,,---,,,,,,,,,
38,"1,835.00",,,954,"2,099.00",,,954,,264,,731,,465,,---,,,,,,,,,
39,"2,074.00",,,489,"2,074.00",,,954,,264,,465,,239,,|,,,,,,,,,
40,"2,191.50",,,0,"2,191.50",,,"1,220.00",,341,,"1,220.00",,92.5,,|,,,,,,,,,
41,"2,099.00",,,263,"2,191.50",,,263,,92.5,,"1,220.00",,263,,---,,,,,,,,,
42,"2,099.00",,,866,"2,191.50",,,866,,92.5,,957,,603,,---,,,,,,,,,
43,"2,269.50",,,0,"2,269.50",,,"1,220.00",,248.5,,"1,220.00",,78,,|,,,,,,,,,
44,"2,191.50",,,438,"2,269.50",,,438,,78,,"1,220.00",,438,,---,,,,,,,,,
45,"2,191.50",,,"1,202.00","2,269.50",,,"1,202.00",,78,,782,,764,,---,,,,,,,,,
46,"2,244.00",,,438,"2,244.00",,,"1,202.00",,78,,764,,52.5,,|,,,,,,,,,
47,"2,347.50",,,0,"2,347.50",,,"1,220.00",,170.5,,"1,220.00",,78,,|,,,,,,,,,
48,"2,269.50",,,438,"2,347.50",,,438,,78,,"1,220.00",,438,,---,,,,,,,,,
49,,"2,269.50",,,,876,,"2,347.50",,,876,,,78,,,782,,,438,,,---,,
50,,"2,347.50",,,,656,,"2,440.00",,,656,,,92.5,,,"1,220.00",,,656,,,---,,
51,,"2,347.50",,,,"1,094.00",,"2,440.00",,,"1,094.00",,,92.5,,,564,,,438,,,---,,
52,,"2,425.50",,,,656,,"2,425.50",,,"1,094.00",,,92.5,,,438,,,78,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 24,978.5)   24,978.5",,,,,,,,,,,,,,,Count of cuts   (1 x 52)   52,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,27397,,*,,,,,*,,,0,,,,0,,,78,,,438,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,78,,,,0,,78,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,78,,,|,,
2,,0,,,,438,,78,,,438,,,78,,,"1,220.00",,,438,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 1,298.0)   1,298.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,
