Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
23,,27523,,,,,,,,,,"2,187.00",,,,0,,,158,,,438,,,
24,,29598,,,,,,,,,,"2,187.00",,,,438,,,158,,,498,,,
25,,32257,,,,,,,,,,"2,187.00",,,,936,,,118,,,238,,,
26,,27592,,,,,,,,,,"2,345.00",,,,0,,,92.5,,,413,,,
27,,28513,,,,,,,,,,"2,345.00",,,,413,,,92.5,,,413,,,
28,,31424,,,,,,,,,,"2,345.00",,,,826,,,92.5,,,341,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,439,,,0,439,,,"1,220.00",,"2,440.00",,"1,220.00",,439,,|,,,,,,,,,
2,0,,,725,439,,,725,,439,,"1,220.00",,725,,---,,,,,,,,,
3,0,,,883,439,,,883,,439,,495,,158,,---,,,,,,,,,
4,438,,,725,438,,,883,,439,,158,,438,,|,,,,,,,,,
5,0,,,"1,041.00",439,,,"1,041.00",,439,,337,,158,,---,,,,,,,,,
6,438,,,883,438,,,"1,041.00",,439,,158,,438,,|,,,,,,,,,
7,0,,,"1,199.00",439,,,"1,199.00",,439,,179,,158,,---,,,,,,,,,
8,438,,,"1,041.00",438,,,"1,199.00",,439,,158,,438,,|,,,,,,,,,
9,950,,,0,950,,,"1,220.00",,"2,001.00",,"1,220.00",,511,,|,,,,,,,,,
10,439,,,439,950,,,439,,511,,"1,220.00",,439,,---,,,,,,,,,
11,439,,,878,950,,,878,,511,,781,,439,,---,,,,,,,,,
12,439,,,"1,010.50",950,,,"1,010.50",,511,,342,,132.5,,---,,,,,,,,,
13,949,,,878,949,,,"1,010.50",,511,,132.5,,510,,|,,,,,,,,,
14,439,,,"1,208.50",950,,,"1,208.50",,511,,209.5,,198,,---,,,,,,,,,
15,927,,,"1,010.50",927,,,"1,208.50",,511,,198,,488,,|,,,,,,,,,
16,"1,449.00",,,0,"1,449.00",,,"1,220.00",,"1,490.00",,"1,220.00",,499,,|,,,,,,,,,
17,950,,,575,"1,449.00",,,575,,499,,"1,220.00",,575,,---,,,,,,,,,
18,950,,,773,"1,449.00",,,773,,499,,645,,198,,---,,,,,,,,,
19,"1,438.00",,,575,"1,438.00",,,773,,499,,198,,488,,|,,,,,,,,,
20,950,,,971,"1,449.00",,,971,,499,,447,,198,,---,,,,,,,,,
21,"1,438.00",,,773,"1,438.00",,,971,,499,,198,,488,,|,,,,,,,,,
22,950,,,"1,089.00","1,449.00",,,"1,089.00",,499,,249,,118,,---,,,,,,,,,
23,"1,188.00",,,971,"1,188.00",,,"1,089.00",,499,,118,,238,,|,,,,,,,,,
24,"1,426.00",,,971,"1,426.00",,,"1,089.00",,261,,118,,238,,|,,,,,,,,,
25,950,,,"1,207.00","1,449.00",,,"1,207.00",,499,,131,,118,,---,,,,,,,,,
26,"1,388.00",,,"1,089.00","1,388.00",,,"1,207.00",,499,,118,,438,,|,,,,,,,,,
27,"1,688.00",,,0,"1,688.00",,,"1,220.00",,991,,"1,220.00",,239,,|,,,,,,,,,
28,"1,449.00",,,342,"1,688.00",,,342,,239,,"1,220.00",,342,,---,,,,,,,,,
29,"1,449.00",,,460,"1,688.00",,,460,,239,,878,,118,,---,,,,,,,,,
30,"1,687.00",,,342,"1,687.00",,,460,,239,,118,,238,,|,,,,,,,,,
31,"1,449.00",,,698,"1,688.00",,,698,,239,,760,,238,,---,,,,,,,,,
32,"1,567.00",,,460,"1,567.00",,,698,,239,,238,,118,,|,,,,,,,,,
33,"1,685.00",,,460,"1,685.00",,,698,,121,,238,,118,,|,,,,,,,,,
34,"1,449.00",,,"1,196.00","1,688.00",,,"1,196.00",,239,,522,,498,,---,,,,,,,,,
35,"1,567.00",,,698,"1,567.00",,,"1,196.00",,239,,498,,118,,|,,,,,,,,,
36,"1,685.00",,,698,"1,685.00",,,"1,196.00",,121,,498,,118,,|,,,,,,,,,
37,"2,187.00",,,0,"2,187.00",,,"1,220.00",,752,,"1,220.00",,499,,|,,,,,,,,,
38,"1,688.00",,,575,"2,187.00",,,575,,499,,"1,220.00",,575,,---,,,,,,,,,
39,"1,688.00",,,"1,161.00","2,187.00",,,"1,161.00",,499,,645,,586,,---,,,,,,,,,
40,"2,177.00",,,575,"2,177.00",,,"1,161.00",,499,,586,,489,,|,,,,,,,,,
41,"2,345.00",,,0,"2,345.00",,,"1,220.00",,253,,"1,220.00",,158,,|,,,,,,,,,
42,"2,187.00",,,438,"2,345.00",,,438,,158,,"1,220.00",,438,,---,,,,,,,,,
43,"2,187.00",,,936,"2,345.00",,,936,,158,,782,,498,,---,,,,,,,,,
44,"2,187.00",,,"1,174.00","2,345.00",,,"1,174.00",,158,,284,,238,,---,,,,,,,,,
45,"2,305.00",,,936,"2,305.00",,,"1,174.00",,158,,238,,118,,|,,,,,,,,,
46,"2,437.50",,,0,"2,437.50",,,"1,220.00",,95,,"1,220.00",,92.5,,|,,,,,,,,,
47,"2,345.00",,,413,"2,437.50",,,413,,92.5,,"1,220.00",,413,,---,,,,,,,,,
48,"2,345.00",,,826,"2,437.50",,,826,,92.5,,807,,413,,---,,,,,,,,,
49,"2,345.00",,,"1,167.00","2,437.50",,,"1,167.00",,92.5,,394,,341,,---,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 21,509.0)   21,509.0",,Count of cuts   (1 x 49)   49,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32206,,,,,,,,,,0,,,,0,,,92.5,,,692,,,*
2,,28236,,,,,,,,,,92.5,,,,0,,,585,,,172.5,,,
3,,31898,,,,,,,,,,92.5,,,,172.5,,,92.5,,,578,,,*
4,,29801,,,,,,,,,,677.5,,,,0,,,333,,,239,,,
5,,31710,,,,,,,,,,677.5,,,,239,,,158,,,438,,,*
6,,27461,,,,,,,,,,835.5,,,,239,,,158,,,438,,,*
7,,31968,,,,,,,,,,677.5,,,,677,,,132.5,,,510,,,*
8,,28790,,,,,,,,,,"1,010.50",,,,0,,,92.5,,,332,,,*
9,,30473,,,,,,,,,,"1,010.50",,,,332,,,92.5,,,724,,,*
10,,30674,,,,,,,,,,"1,103.00",,,,0,,,414,,,439,,,
11,,29490,,,,,,,,,,"1,103.00",,,,439,,,198,,,488,,,*
12,,27787,,,,,,,,,,"1,301.00",,,,439,,,198,,,488,,,*
13,,27423,,,,,,,,,,"1,517.00",,,,0,,,725,,,439,,,
14,,29595,,,,,,,,,,"1,517.00",,,,439,,,724,,,92.5,,,
15,,31925,,,,,,,,,,"1,517.00",,,,531.5,,,510,,,132.5,,,
16,,29852,,,,,,,,,,"1,517.00",,,,664,,,510,,,132.5,,,
17,,29183,,,,,,,,,,"2,242.00",,,,0,,,198,,,488,,,*
18,,32341,,*,,,,,*,,,"2,242.00",,,,488,,,158,,,498,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,92.5,,,,0,,92.5,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,92.5,,,|,,
2,,0,,,,692,,92.5,,,692,,,92.5,,,"1,220.00",,,692,,,---,,
3,,677.5,,,,0,,677.5,,,"1,220.00",,,"2,347.50",,,"1,220.00",,,585,,,|,,
4,,92.5,,,,172.5,,677.5,,,172.5,,,585,,,"1,220.00",,,172.5,,,---,,
5,,92.5,,,,750.5,,677.5,,,750.5,,,585,,,"1,047.50",,,578,,,---,,
6,185,172.5,185,750.5,585,578,92.5,|,,,,,,,,,,,,,,,,,
7,"1,010.50",0,"1,010.50","1,220.00","1,762.50","1,220.00",333,|,,,,,,,,,,,,,,,,,
8,677.5,239,"1,010.50",239,333,"1,220.00",239,---,,,,,,,,,,,,,,,,,
9,677.5,677,"1,010.50",677,333,981,438,---,,,,,,,,,,,,,,,,,
10,835.5,239,835.5,677,333,438,158,|,,,,,,,,,,,,,,,,,
11,993.5,239,993.5,677,175,438,158,|,,,,,,,,,,,,,,,,,
12,677.5,"1,187.00","1,010.50","1,187.00",333,543,510,---,,,,,,,,,,,,,,,,,
13,810,677,810,"1,187.00",333,510,132.5,|,,,,,,,,,,,,,,,,,
14,"1,103.00",0,"1,103.00","1,220.00","1,429.50","1,220.00",92.5,|,,,,,,,,,,,,,,,,,
15,"1,010.50",332,"1,103.00",332,92.5,"1,220.00",332,---,,,,,,,,,,,,,,,,,
16,"1,010.50","1,056.00","1,103.00","1,056.00",92.5,888,724,---,,,,,,,,,,,,,,,,,
17,"1,517.00",0,"1,517.00","1,220.00","1,337.00","1,220.00",414,|,,,,,,,,,,,,,,,,,
18,"1,103.00",439,"1,517.00",439,414,"1,220.00",439,---,,,,,,,,,,,,,,,,,
19,"1,103.00",927,"1,517.00",927,414,781,488,---,,,,,,,,,,,,,,,,,
20,"1,301.00",439,"1,301.00",927,414,488,198,|,,,,,,,,,,,,,,,,,
21,"1,499.00",439,"1,499.00",927,216,488,198,|,,,,,,,,,,,,,,,,,
22,"2,242.00",0,"2,242.00","1,220.00",923,"1,220.00",725,|,,,,,,,,,,,,,,,,,
23,"1,517.00",439,"2,242.00",439,725,"1,220.00",439,---,,,,,,,,,,,,,,,,,
24,"1,517.00",531.5,"2,242.00",531.5,725,781,92.5,---,,,,,,,,,,,,,,,,,
25,"2,241.00",439,"2,241.00",531.5,725,92.5,724,|,,,,,,,,,,,,,,,,,
26,"1,517.00",664,"2,242.00",664,725,688.5,132.5,---,,,,,,,,,,,,,,,,,
27,"2,027.00",531.5,"2,027.00",664,725,132.5,510,|,,,,,,,,,,,,,,,,,
28,"1,517.00",796.5,"2,242.00",796.5,725,556,132.5,---,,,,,,,,,,,,,,,,,
29,"2,027.00",664,"2,027.00",796.5,725,132.5,510,|,,,,,,,,,,,,,,,,,
30,"2,242.00",488,"2,440.00",488,198,"1,220.00",488,---,,,,,,,,,,,,,,,,,
31,"2,242.00",986,"2,440.00",986,198,732,498,---,,,,,,,,,,,,,,,,,
32,"2,400.00",488,"2,400.00",986,198,498,158,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 17,686.0)   17,686.0",,,,,,Count of cuts   (1 x 32)   32,,,,,,,,,,,,,,,,,,,
