6,,11432,,,,,,,,,,"1,759.5",,,,868.0,,,662.0,,,304.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,868.0,,"2,440.0",,,868.0,,,"2,440.0",,,"1,220.0",,,868.0,,,---,,,
2,,"2,151.0",,,,0.0,,"2,151.0",,,868.0,,,"2,440.0",,,868.0,,,"2,151.0",,,|,,,
3,,"2,390.0",,,,0.0,,"2,390.0",,,868.0,,,289.0,,,868.0,,,239.0,,,|,,,
4,,"2,151.0",,,,814.0,,"2,390.0",,,814.0,,,239.0,,,868.0,,,814.0,,,---,,,
5,,0.0,,,,"1,219.5",,"2,440.0",,,"1,219.5",,,"2,440.0",,,352.0,,,351.5,,,---,,,
6,,440.0,,,,868.0,,440.0,,,"1,219.5",,,"2,440.0",,,351.5,,,440.0,,,|,,,
7,,880.0,,,,868.0,,880.0,,,"1,219.5",,,"2,000.0",,,351.5,,,440.0,,,|,,,
8,,"1,759.5",,,,868.0,,"1,759.5",,,"1,219.5",,,"1,560.0",,,351.5,,,879.5,,,|,,,
9,,880.0,,,,"1,180.0",,"1,759.5",,,"1,180.0",,,879.5,,,351.5,,,312.0,,,---,,,
10,,"2,421.5",,,,868.0,,"2,421.5",,,"1,219.5",,,680.5,,,351.5,,,662.0,,,|,,,
11,,"1,759.5",,,,"1,172.0",,"2,421.5",,,"1,172.0",,,662.0,,,351.5,,,304.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,802.5)   9,802.5",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
3 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,12000,,,,,,,,,,0.0,,,,0.0,,,"1,001.5",,,740.0,,,,,
2,,8138,,,,,,,,,,0.0,,,,740.0,,,982.0,,,416.0,,,*,,
3,,11606,,,,,,,,,,"1,001.5",,,,0.0,,,522.0,,,472.5,,,*,,
4,,11935,,,,,,,,,,"1,001.5",,,,472.5,,,496.0,,,642.0,,,,,
5,,9197,,,,,,,,,,"1,523.5",,,,0.0,,,879.5,,,650.0,,,,,
6,,9124,,,,,,,,,,"1,523.5",,,,650.0,,,857.5,,,472.5,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,001.5",,,,0.0,,"1,001.5",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,001.5",,,|,,,
2,,0.0,,,,740.0,,"1,001.5",,,740.0,,,"1,001.5",,,"1,220.0",,,740.0,,,---,,,
3,,0.0,,,,"1,156.0",,"1,001.5",,,"1,156.0",,,"1,001.5",,,480.0,,,416.0,,,---,,,
4,,982.0,,,,740.0,,982.0,,,"1,156.0",,,"1,001.5",,,416.0,,,982.0,,,|,,,
5,,"1,523.5",,,,0.0,,"1,523.5",,,"1,220.0",,,"1,438.5",,,"1,220.0",,,522.0,,,|,,,
6,,"1,001.5",,,,472.5,,"1,523.5",,,472.5,,,522.0,,,"1,220.0",,,472.5,,,---,,,
7,,"1,001.5",,,,"1,114.5",,"1,523.5",,,"1,114.5",,,522.0,,,747.5,,,642.0,,,---,,,
8,,"1,497.5",,,,472.5,,"1,497.5",,,"1,114.5",,,522.0,,,642.0,,,496.0,,,|,,,
9,,"2,403.0",,,,0.0,,"2,403.0",,,"1,220.0",,,916.5,,,"1,220.0",,,879.5,,,|,,,
10,,"1,523.5",,,,650.0,,"2,403.0",,,650.0,,,879.5,,,"1,220.0",,,650.0,,,---,,,
11,,"1,523.5",,,,"1,122.5",,"2,403.0",,,"1,122.5",,,879.5,,,570.0,,,472.5,,,---,,,
12,,"2,381.0",,,,650.0,,"2,381.0",,,"1,122.5",,,879.5,,,472.5,,,857.5,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,996.5)   9,996.5",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
4 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,10397,,,,,,,,,,0.0,,,,0.0,,,870.0,,,666.5,,,*,,
2,,11010,,,,,,,,,,870.0,,,,0.0,,,870.0,,,666.5,,,*,,
3,,11497,,,,,,,,,,"1,740.0",,,,0.0,,,700.0,,,650.0,,,,,
4,,8753,,,,,,,,,,0.0,,,,666.5,,,"2,051.0",,,522.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,666.5,,"2,440.0",,,666.5,,,"2,440.0",,,"1,220.0",,,666.5,,,---,,,
2,,870.0,,,,0.0,,870.0,,,666.5,,,"2,440.0",,,666.5,,,870.0,,,|,,,
3,,"1,740.0",,,,0.0,,"1,740.0",,,666.5,,,"1,570.0",,,666.5,,,870.0,,,|,,,
4,,"1,740.0",,,,650.0,,"2,440.0",,,650.0,,,700.0,,,666.5,,,650.0,,,---,,,
5,,0.0,,,,"1,188.5",,"2,440.0",,,"1,188.5",,,"2,440.0",,,553.5,,,522.0,,,---,,,
6,,"2,051.0",,,,666.5,,"2,051.0",,,"1,188.5",,,"2,440.0",,,522.0,,,"2,051.0",,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,435.0)   7,435.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
5 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,8794,,,,,,,,,,0.0,,,,0.0,,,"2,228.5",,,868.0,,,,,
2,,7755,,,,,,,,,,"2,228.5",,,,0.0,,,52.5,,,813.0,,,*,,
3,,10496,,,,,,,,,,"2,281.0",,,,0.0,,,52.5,,,813.0,,,*,,
4,,10087,,,,,,,,,,0.0,,,,868.0,,,642.0,,,322.0,,,*,,
5,,10407,,,,,,,,,,642.0,,,,868.0,,,700.0,,,312.0,,,,,
6,,10254,,,,,,,,,,"1,342.0",,,,868.0,,,662.0,,,304.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,868.0,,"2,440.0",,,868.0,,,"2,440.0",,,"1,220.0",,,868.0,,,---,,,
2,,"2,228.5",,,,0.0,,"2,228.5",,,868.0,,,"2,440.0",,,868.0,,,"2,228.5",,,|,,,
3,,"2,281.0",,,,0.0,,"2,281.0",,,868.0,,,211.5,,,868.0,,,52.5,,,|,,,
4,,"2,228.5",,,,813.0,,"2,281.0",,,813.0,,,52.5,,,868.0,,,813.0,,,---,,,
5,,"2,333.5",,,,0.0,,"2,333.5",,,868.0,,,159.0,,,868.0,,,52.5,,,|,,,
6,,"2,281.0",,,,813.0,,"2,333.5",,,813.0,,,52.5,,,868.0,,,813.0,,,---,,,
7,,642.0,,,,868.0,,642.0,,,"1,220.0",,,"2,440.0",,,352.0,,,642.0,,,|,,,
8,,0.0,,,,"1,190.0",,642.0,,,"1,190.0",,,642.0,,,352.0,,,322.0,,,---,,,
9,,"1,342.0",,,,868.0,,"1,342.0",,,"1,220.0",,,"1,798.0",,,352.0,,,700.0,,,|,,,
10,,642.0,,,,"1,180.0",,"1,342.0",,,"1,180.0",,,700.0,,,352.0,,,312.0,,,---,,,
11,,"2,004.0",,,,868.0,,"2,004.0",,,"1,220.0",,,"1,098.0",,,352.0,,,662.0,,,|,,,
12,,"1,342.0",,,,"1,172.0",,"2,004.0",,,"1,172.0",,,662.0,,,352.0,,,304.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,209.0)   8,209.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
6 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,9836,,,,,,,,,,0.0,,,,0.0,,,158.0,,,870.0,,,,
2,,8773,,,,,,,,,,158.0,,,,0.0,,,"2,156.0",,,842.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,158.0,,,,0.0,,158.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,158.0,,,|,,
2,,0.0,,,,870.0,,158.0,,,870.0,,,158.0,,,"1,220.0",,,870.0,,,---,,
3,,"2,314.0",,,,0.0,,"2,314.0",,,"1,220.0",,,"2,282.0",,,"1,220.0",,,"2,156.0",,,|,,
4,,158.0,,,,842.0,,"2,314.0",,,842.0,,,"2,156.0",,,"1,220.0",,,842.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 4,754.0)   4,754.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
7 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,8462,,,,,,,,,,0.0,,,,0.0,,,"2,156.0",,,842.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,842.0,,"2,440.0",,,842.0,,,"2,440.0",,,"1,220.0",,,842.0,,,---,,
2,,"2,156.0",,,,0.0,,"2,156.0",,,842.0,,,"2,440.0",,,842.0,,,"2,156.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,282.0)   3,282.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
8 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,10245,,,,,,,,,,0.0,,,,0.0,,,"2,051.0",,,857.5,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,051.0",,,,0.0,,"2,051.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,051.0",,,|,,
2,,0.0,,,,857.5,,"2,051.0",,,857.5,,,"2,051.0",,,"1,220.0",,,857.5,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,271.0)   3,271.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
9 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,9725,,,,,,,,,,0.0,,,,0.0,,,"2,051.0",,,857.5,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,051.0",,,,0.0,,"2,051.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,051.0",,,|,,
2,,0.0,,,,857.5,,"2,051.0",,,857.5,,,"2,051.0",,,"1,220.0",,,857.5,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,271.0)   3,271.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
10 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,8509,,,,,,,,,,0.0,,,,0.0,,,"1,298.0",,,642.0,,,,,
2,,12362,,*,,,,,*,,,0.0,,,,642.0,,,857.5,,,472.5,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,298.0",,,,0.0,,"1,298.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,298.0",,,|,,,
2,,0.0,,,,642.0,,"1,298.0",,,642.0,,,"1,298.0",,,"1,220.0",,,642.0,,,---,,,
3,,0.0,,,,"1,114.5",,"1,298.0",,,"1,114.5",,,"1,298.0",,,578.0,,,472.5,,,---,,,
4,,857.5,,,,642.0,,857.5,,,"1,114.5",,,"1,298.0",,,472.5,,,857.5,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 4,288.5)   4,288.5",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,,,
