Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
6,338,,,833,338,,,991,,339,,158,,338,,|,,,,,,,,,
7,0,,,"1,189.00",339,,,"1,189.00",,339,,229,,198,,---,,,,,,,,,
8,288,,,991,288,,,"1,189.00",,339,,198,,288,,|,,,,,,,,,
9,628,,,0,628,,,"1,220.00",,"2,101.00",,"1,220.00",,289,,|,,,,,,,,,
10,339,,,448,628,,,448,,289,,"1,220.00",,448,,---,,,,,,,,,
11,339,,,944,628,,,944,,289,,772,,496,,---,,,,,,,,,
12,339,,,"1,142.00",628,,,"1,142.00",,289,,276,,198,,---,,,,,,,,,
13,627,,,944,627,,,"1,142.00",,289,,198,,288,,|,,,,,,,,,
14,952,,,0,952,,,"1,220.00",,"1,812.00",,"1,220.00",,324,,|,,,,,,,,,
15,628,,,439,952,,,439,,324,,"1,220.00",,439,,---,,,,,,,,,
16,628,,,877,952,,,877,,324,,781,,438,,---,,,,,,,,,
17,746,,,439,746,,,877,,324,,438,,118,,|,,,,,,,,,
18,864,,,439,864,,,877,,206,,438,,118,,|,,,,,,,,,
19,628,,,"1,165.00",952,,,"1,165.00",,324,,343,,288,,---,,,,,,,,,
20,826,,,877,826,,,"1,165.00",,324,,288,,198,,|,,,,,,,,,
21,944,,,877,944,,,"1,165.00",,126,,288,,118,,|,,,,,,,,,
22,"1,400.00",,,0,"1,400.00",,,"1,220.00",,"1,488.00",,"1,220.00",,448,,|,,,,,,,,,
23,952,,,289,"1,400.00",,,289,,448,,"1,220.00",,289,,---,,,,,,,,,
24,952,,,578,"1,400.00",,,578,,448,,931,,289,,---,,,,,,,,,
25,952,,,750.5,"1,400.00",,,750.5,,448,,642,,172.5,,---,,,,,,,,,
26,"1,399.00",,,578,"1,399.00",,,750.5,,448,,172.5,,447,,|,,,,,,,,,
27,952,,,923,"1,400.00",,,923,,448,,469.5,,172.5,,---,,,,,,,,,
28,"1,399.00",,,750.5,"1,399.00",,,923,,448,,172.5,,447,,|,,,,,,,,,
29,952,,,"1,095.50","1,400.00",,,"1,095.50",,448,,297,,172.5,,---,,,,,,,,,
30,"1,399.00",,,923,"1,399.00",,,"1,095.50",,448,,172.5,,447,,|,,,,,,,,,
31,952,,,"1,213.50","1,400.00",,,"1,213.50",,448,,124.5,,118,,---,,,,,,,,,
32,"1,390.00",,,"1,095.50","1,390.00",,,"1,213.50",,448,,118,,438,,|,,,,,,,,,
33,"1,689.00",,,0,"1,689.00",,,"1,220.00",,"1,040.00",,"1,220.00",,289,,|,,,,,,,,,
34,"1,400.00",,,815,"1,689.00",,,815,,289,,"1,220.00",,815,,---,,,,,,,,,
35,"1,400.00",,,"1,013.00","1,689.00",,,"1,013.00",,289,,405,,198,,---,,,,,,,,,
36,"1,688.00",,,815,"1,688.00",,,"1,013.00",,289,,198,,288,,|,,,,,,,,,
37,"1,400.00",,,"1,211.00","1,689.00",,,"1,211.00",,289,,207,,198,,---,,,,,,,,,
38,"1,688.00",,,"1,013.00","1,688.00",,,"1,211.00",,289,,198,,288,,|,,,,,,,,,
39,"1,781.50",,,0,"1,781.50",,,"1,220.00",,751,,"1,220.00",,92.5,,|,,,,,,,,,
40,"1,689.00",,,323,"1,781.50",,,323,,92.5,,"1,220.00",,323,,---,,,,,,,,,
41,"1,689.00",,,646,"1,781.50",,,646,,92.5,,897,,323,,---,,,,,,,,,
42,"1,689.00",,,"1,141.00","1,781.50",,,"1,141.00",,92.5,,574,,495,,---,,,,,,,,,
43,"1,874.00",,,0,"1,874.00",,,"1,220.00",,658.5,,"1,220.00",,92.5,,|,,,,,,,,,
44,"1,781.50",814,"1,874.00",814,92.5,"1,220.00",814,---,,,,,,,,,,,,,,,,,
45,"1,781.50","1,137.00","1,874.00","1,137.00",92.5,406,323,---,,,,,,,,,,,,,,,,,
46,"2,313.00",0,"2,313.00","1,220.00",566,"1,220.00",439,|,,,,,,,,,,,,,,,,,
47,"1,874.00",324,"2,313.00",324,439,"1,220.00",324,---,,,,,,,,,,,,,,,,,
48,"1,874.00",648,"2,313.00",648,439,896,324,---,,,,,,,,,,,,,,,,,
49,"1,874.00",972,"2,313.00",972,439,572,324,---,,,,,,,,,,,,,,,,,
50,"1,874.00","1,090.00","2,313.00","1,090.00",439,248,118,---,,,,,,,,,,,,,,,,,
51,"2,312.00",972,"2,312.00","1,090.00",439,118,438,|,,,,,,,,,,,,,,,,,
52,"1,874.00","1,208.00","2,313.00","1,208.00",439,130,118,---,,,,,,,,,,,,,,,,,
53,"2,312.00","1,090.00","2,312.00","1,208.00",439,118,438,|,,,,,,,,,,,,,,,,,
54,"2,431.00",0,"2,431.00","1,220.00",127,"1,220.00",118,|,,,,,,,,,,,,,,,,,
55,"2,313.00",438,"2,431.00",438,118,"1,220.00",438,---,,,,,,,,,,,,,,,,,
56,"2,313.00",876,"2,431.00",876,118,782,438,---,,,,,,,,,,,,,,,,,
57,"2,313.00","1,164.00","2,431.00","1,164.00",118,344,288,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 24,173.0)   24,173.0",,,,,,Count of cuts   (1 x 57)   57,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,793,,,,,,,,,,0,,,,0,,,288,,,198,,,
2,,1036,,,,,,,,,,0,,,,198,,,288,,,118,,,
3,,657,,,,,,,,,,0,,,,316,,,288,,,118,,,
4,,651,,,,,,,,,,0,,,,434,,,323,,,92.5,,,
5,,1642,,,,,,,,,,0,,,,526.5,,,132.5,,,674,,,*
6,,264,,*,,,,,*,,,132.5,,,,526.5,,,118,,,438,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,323,,,,0,,323,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,323,,,|,,
2,,0,,,,198,,323,,,198,,,323,,,"1,220.00",,,198,,,---,,
3,,288,,,,0,,288,,,198,,,323,,,198,,,288,,,|,,
4,,0,,,,316,,323,,,316,,,323,,,"1,022.00",,,118,,,---,,
5,,288,,,,198,,288,,,316,,,323,,,118,,,288,,,|,,
6,,0,,,,434,,323,,,434,,,323,,,904,,,118,,,---,,
7,,288,,,,316,,288,,,434,,,323,,,118,,,288,,,|,,
8,,0,,,,526.5,,323,,,526.5,,,323,,,786,,,92.5,,,---,,
9,,0,,,,"1,200.50",,323,,,"1,200.50",,,323,,,693.5,,,674,,,---,,
10,,132.5,,,,526.5,,132.5,,,"1,200.50",,,323,,,674,,,132.5,,,|,,
11,,250.5,,,,526.5,,250.5,,,"1,200.50",,,190.5,,,674,,,118,,,|,,
12,,132.5,,,,964.5,,250.5,,,964.5,,,118,,,674,,,438,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 4,735.0)   4,735.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,
