22,0,"1,159.00","2,440.00","1,159.00","2,440.00",289,228,---,,,,,,,,,,,,,,,,,
23,"2,338.00",931,"2,338.00","1,159.00","2,440.00",228,"2,338.00",|,,,,,,,,,,,,,,,,,
24,0,"1,217.00","2,440.00","1,217.00","2,440.00",61,58,---,,,,,,,,,,,,,,,,,
25,"1,583.00","1,159.00","1,583.00","1,217.00","2,440.00",58,"1,583.00",|,,,,,,,,,,,,,,,,,
26,"2,426.00","1,159.00","2,426.00","1,217.00",857,58,843,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 19,918.0)   19,918.0",,,,,,Count of cuts   (1 x 26)   26,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 6,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25444,,,,,,,,,,0,,,,0,,,"2,403.00",,,565,,,
2,,25421,,,,,,,,,,0,,,,565,,,"2,403.00",,,565,,,
3,,24546,,,,,,,,,,0,,,,"1,130.00",,,297,,,78,,,
4,,27188,,,,,,,,,,297,,,,"1,130.00",,,583,,,78,,,
5,,25333,,,,,,,,,,880,,,,"1,130.00",,,"1,560.00",,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,565,,"2,440.00",,,565,,,"2,440.00",,,"1,220.00",,,565,,,---,,
2,,"2,403.00",,,,0,,"2,403.00",,,565,,,"2,440.00",,,565,,,"2,403.00",,,|,,
3,,0,,,,"1,130.00",,"2,440.00",,,"1,130.00",,,"2,440.00",,,655,,,565,,,---,,
4,,"2,403.00",,,,565,,"2,403.00",,,"1,130.00",,,"2,440.00",,,565,,,"2,403.00",,,|,,
5,,0,,,,"1,208.00",,"2,440.00",,,"1,208.00",,,"2,440.00",,,90,,,78,,,---,,
6,,297,,,,"1,130.00",,297,,,"1,208.00",,,"2,440.00",,,78,,,297,,,|,,
7,,880,,,,"1,130.00",,880,,,"1,208.00",,,"2,143.00",,,78,,,583,,,|,,
8,,880,,,,"1,188.00",,"2,440.00",,,"1,188.00",,,"1,560.00",,,78,,,58,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,166.0)   10,166.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
5 of 6,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25179,,,,,,,,,,0,,,,0,,,906,,,58,,,
2,,25976,,,,,,,,,,906,,,,0,,,"1,196.00",,,58,,,
3,,23806,,,,,,,,,,0,,,,58,,,"1,247.00",,,58,,,
4,,25906,,,,,,,,,,"1,247.00",,,,58,,,843,,,58,,,
5,,23598,,,,,,,,,,0,,,,116,,,882,,,58,,,
6,,24820,,,,,,,,,,882,,,,116,,,542,,,58,,,
7,,27408,,,,,,,,,,"1,424.00",,,,116,,,882,,,58,,,
8,,26383,,,,,,,,,,0,,,,174,,,"1,184.00",,,128,,,
9,,24038,,,,,,,,,,"1,184.00",,,,174,,,906,,,58,,,
10,,25847,,,,,,,,,,"1,184.00",,,,232,,,906,,,58,,,
11,,25470,,,,,,,,,,0,,,,302,,,"1,924.00",,,58,,,
12,,24608,,,,,,,,,,"1,924.00",,,,302,,,479,,,58,,,
13,,26991,,,,,,,,,,0,,,,360,,,"2,338.00",,,228,,,
14,,23383,,,,,,,,,,0,,,,588,,,724,,,58,,,
15,,25546,,,,,,,,,,724,,,,588,,,882,,,58,,,
16,,25625,,,,,,,,,,"1,606.00",,,,588,,,834,,,58,,,
17,,22994,,,,,,,,,,0,,,,646,,,"2,403.00",,,565,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,58,,"2,440.00",,,58,,,"2,440.00",,,"1,220.00",,,58,,,---,,
2,,906,,,,0,,906,,,58,,,"2,440.00",,,58,,,906,,,|,,
3,,"2,102.00",,,,0,,"2,102.00",,,58,,,"1,534.00",,,58,,,"1,196.00",,,|,,
4,,0,,,,116,,"2,440.00",,,116,,,"2,440.00",,,"1,162.00",,,58,,,---,,
5,,"1,247.00",,,,58,,"1,247.00",,,116,,,"2,440.00",,,58,,,"1,247.00",,,|,,
6,,"2,090.00",,,,58,,"2,090.00",,,116,,,"1,193.00",,,58,,,843,,,|,,
7,0,174,"2,440.00",174,"2,440.00","1,104.00",58,---,,,,,,,,,,,,,,,,,
8,882,116,882,174,"2,440.00",58,882,|,,,,,,,,,,,,,,,,,
9,"1,424.00",116,"1,424.00",174,"1,558.00",58,542,|,,,,,,,,,,,,,,,,,
10,"2,306.00",116,"2,306.00",174,"1,016.00",58,882,|,,,,,,,,,,,,,,,,,
11,0,302,"2,440.00",302,"2,440.00","1,046.00",128,---,,,,,,,,,,,,,,,,,
12,"1,184.00",174,"1,184.00",302,"2,440.00",128,"1,184.00",|,,,,,,,,,,,,,,,,,
13,"2,090.00",174,"2,090.00",302,"1,256.00",128,906,|,,,,,,,,,,,,,,,,,
14,"1,184.00",232,"2,090.00",232,906,128,58,---,,,,,,,,,,,,,,,,,
15,"1,184.00",290,"2,090.00",290,906,70,58,---,,,,,,,,,,,,,,,,,
16,0,360,"2,440.00",360,"2,440.00",918,58,---,,,,,,,,,,,,,,,,,
17,"1,924.00",302,"1,924.00",360,"2,440.00",58,"1,924.00",|,,,,,,,,,,,,,,,,,
18,"2,403.00",302,"2,403.00",360,516,58,479,|,,,,,,,,,,,,,,,,,
19,0,588,"2,440.00",588,"2,440.00",860,228,---,,,,,,,,,,,,,,,,,
20,"2,338.00",360,"2,338.00",588,"2,440.00",228,"2,338.00",|,,,,,,,,,,,,,,,,,
21,0,646,"2,440.00",646,"2,440.00",632,58,---,,,,,,,,,,,,,,,,,
22,724,588,724,646,"2,440.00",58,724,|,,,,,,,,,,,,,,,,,
23,"1,606.00",588,"1,606.00",646,"1,716.00",58,882,|,,,,,,,,,,,,,,,,,
24,0,"1,211.00","2,440.00","1,211.00","2,440.00",574,565,---,,,,,,,,,,,,,,,,,
25,"2,403.00",646,"2,403.00","1,211.00","2,440.00",565,"2,403.00",|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 23,019.0)   23,019.0",,,,,,Count of cuts   (1 x 25)   25,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
6 of 6,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25493,,,,,,,,,,0,,,,0,,,58,,,815,,,*
2,,23594,,,,,,,,,,58,,,,0,,,227,,,512,,,*
3,,23350,,,,,,,,,,285,,,,0,,,227,,,512,,,*
4,,23846,,,,,,,,,,512,,,,0,,,58,,,815,,,*
5,,27268,,,,,,,,,,570,,,,0,,,128,,,579,,,*
6,,27191,,,,,,,,,,698,,,,0,,,58,,,834,,,*
7,,22757,,*,,,,,*,,,756,,,,0,,,58,,,806,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,834,,"2,440.00",,,834,,,"2,440.00",,,"1,220.00",,,834,,,---,,
2,,58,,,,0,,58,,,834,,,"2,440.00",,,834,,,58,,,|,,
3,,0,,,,815,,58,,,815,,,58,,,834,,,815,,,---,,
4,,285,,,,0,,285,,,834,,,"2,382.00",,,834,,,227,,,|,,
5,,58,,,,512,,285,,,512,,,227,,,834,,,512,,,---,,
6,,512,,,,0,,512,,,834,,,"2,155.00",,,834,,,227,,,|,,
7,,285,,,,512,,512,,,512,,,227,,,834,,,512,,,---,,
8,,570,,,,0,,570,,,834,,,"1,928.00",,,834,,,58,,,|,,
9,,512,,,,815,,570,,,815,,,58,,,834,,,815,,,---,,
10,,698,,,,0,,698,,,834,,,"1,870.00",,,834,,,128,,,|,,
11,,570,,,,579,,698,,,579,,,128,,,834,,,579,,,---,,
12,,756,,,,0,,756,,,834,,,"1,742.00",,,834,,,58,,,|,,
13,,814,,,,0,,814,,,834,,,"1,684.00",,,834,,,58,,,|,,
14,,756,,,,806,,814,,,806,,,58,,,834,,,806,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,034.0)   9,034.0",,,,,,,,,,,,,,,Count of cuts   (1 x 14)   14,,,,,,,,,,
