Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
13,"1,165.00",756,"1,604.00",756,439,"1,220.00",756,---,,,,,,,,,,,,,,,,,
14,"1,165.00","1,023.00","1,604.00","1,023.00",439,464,267,---,,,,,,,,,,,,,,,,,
15,"1,165.00","1,141.00","1,604.00","1,141.00",439,197,118,---,,,,,,,,,,,,,,,,,
16,"1,603.00","1,023.00","1,603.00","1,141.00",439,118,438,|,,,,,,,,,,,,,,,,,
17,"1,165.00","1,219.00","1,604.00","1,219.00",439,79,78,---,,,,,,,,,,,,,,,,,
18,"1,553.00","1,141.00","1,553.00","1,219.00",439,78,388,|,,,,,,,,,,,,,,,,,
19,"2,093.00",0,"2,093.00","1,220.00",836,"1,220.00",489,|,,,,,,,,,,,,,,,,,
20,"1,604.00",776,"2,093.00",776,489,"1,220.00",776,---,,,,,,,,,,,,,,,,,
21,"1,604.00",894,"2,093.00",894,489,444,118,---,,,,,,,,,,,,,,,,,
22,"2,092.00",776,"2,092.00",894,489,118,488,|,,,,,,,,,,,,,,,,,
23,"1,604.00","1,052.00","2,093.00","1,052.00",489,326,158,---,,,,,,,,,,,,,,,,,
24,"2,092.00",894,"2,092.00","1,052.00",489,158,488,|,,,,,,,,,,,,,,,,,
25,"1,604.00","1,210.00","2,093.00","1,210.00",489,168,158,---,,,,,,,,,,,,,,,,,
26,"2,092.00","1,052.00","2,092.00","1,210.00",489,158,488,|,,,,,,,,,,,,,,,,,
27,"2,171.00",0,"2,171.00","1,220.00",347,"1,220.00",78,|,,,,,,,,,,,,,,,,,
28,"2,093.00",388,"2,171.00",388,78,"1,220.00",388,---,,,,,,,,,,,,,,,,,
29,"2,093.00",776,"2,171.00",776,78,832,388,---,,,,,,,,,,,,,,,,,
30,"2,093.00","1,164.00","2,171.00","1,164.00",78,444,388,---,,,,,,,,,,,,,,,,,
31,"2,171.00",439,"2,440.00",439,269,"1,220.00",439,---,,,,,,,,,,,,,,,,,
32,"2,438.00",0,"2,438.00",439,269,439,267,|,,,,,,,,,,,,,,,,,
33,"2,171.00","1,214.00","2,440.00","1,214.00",269,781,775,---,,,,,,,,,,,,,,,,,
34,"2,303.50",439,"2,303.50","1,214.00",269,775,132.5,|,,,,,,,,,,,,,,,,,
35,"2,436.00",439,"2,436.00","1,214.00",136.5,775,132.5,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 17,699.0)   17,699.0",,,,,,Count of cuts   (1 x 35)   35,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,Description,,,,Remnants,,Length,,Width,,Repeat,,,,,,,,,
2 of 2,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,11636,,,,,,,,,,0,,,,0,,,132.5,,,589,,,
2,,11728,,,,,,,,,,0,,,,589,,,92.5,,,266,,,
3,,11467,,,,,,,,,,0,,,,855,,,92.5,,,266,,,
4,,11953,,,,,,,,,,132.5,,,,0,,,590,,,439,,,
5,,11877,,,,,,,,,,132.5,,,,439,,,488,,,158,,,
6,,9957,,,,,,,,,,132.5,,,,597,,,389,,,390,,,
7,,9644,,,,,,,,,,132.5,,,,987,,,388,,,78,,,
8,,8216,,,,,,,,,,132.5,,,,"1,065.00",,,388,,,78,,,
9,,11770,,,,,,,,,,722.5,,,,0,,,438,,,158,,,
10,,11461,,,,,,,,,,722.5,,,,158,,,406.5,,,52.5,,,
11,,9320,,,,,,,,,,722.5,,,,210.5,,,400.5,,,389,,,
12,,9408,,,,,,,,,,722.5,,,,599.5,,,78,,,388,,,
13,,11488,,,,,,,,,,"1,160.50",,,,0,,,489,,,776,,,
14,,8746,,,,,,,,,,"1,160.50",,,,776,,,488,,,158,,,
15,,11360,,,,,,,,,,"1,160.50",,,,934,,,488,,,158,,,
16,,9406,,,,,,,,,,"1,160.50",,,,"1,092.00",,,438,,,118,,,
17,,9646,,,,,,,,,,"1,649.50",,,,0,,,388,,,78,,,
18,,11744,,,,,,,,,,"1,649.50",,,,78,,,388,,,78,,,
19,,8973,,,,,,,,,,"1,649.50",,,,156,,,388,,,78,,,
20,,11709,,,,,,,,,,"1,649.50",,,,234,,,158,,,438,,,
21,,8343,,,,,,,,,,"1,807.50",,,,234,,,158,,,438,,,
22,,10061,,,,,,,,,,"1,649.50",,,,672,,,158,,,488,,,
23,,10651,,,,,,,,,,"1,807.50",,,,672,,,118,,,488,,,
24,,8302,,,,,,,,,,"2,037.50",,,,0,,,158,,,438,,,
25,,10285,,,,,,,,,,"2,037.50",,,,438,,,132.5,,,755,,,
26,,12611,,,,,,,,,,"2,195.50",,,,0,,,118,,,438,,,
27,,11216,,,,,,,,,,"2,195.50",,,,438,,,118,,,438,,,
28,,8161,,,,,,,,,,"2,313.50",,,,0,,,52.5,,,389,,,
29,,9647,,,,,,,,,,"2,313.50",,,,389,,,52.5,,,406.5,,,
30,,11115,,,,,,,,,,"2,366.00",,,,0,,,52.5,,,399.5,,,
31,,12333,,,,*,,,,,,"2,366.00",,,,399.5,,,52.5,,,399.5,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,132.5,,,0,132.5,,,"1,220.00",,"2,440.00",,"1,220.00",,132.5,,|,,,,,,,,,
2,0,,,589,132.5,,,589,,132.5,,"1,220.00",,589,,---,,,,,,,,,
3,0,,,855,132.5,,,855,,132.5,,631,,266,,---,,,,,,,,,
4,92.5,,,589,92.5,,,855,,132.5,,266,,92.5,,|,,,,,,,,,
5,0,,,"1,121.00",132.5,,,"1,121.00",,132.5,,365,,266,,---,,,,,,,,,
6,92.5,,,855,92.5,,,"1,121.00",,132.5,,266,,92.5,,|,,,,,,,,,
7,722.5,,,0,722.5,,,"1,220.00",,"2,307.50",,"1,220.00",,590,,|,,,,,,,,,
8,132.5,,,439,722.5,,,439,,590,,"1,220.00",,439,,---,,,,,,,,,
9,132.5,,,597,722.5,,,597,,590,,781,,158,,---,,,,,,,,,
10,620.5,,,439,620.5,,,597,,590,,158,,488,,|,,,,,,,,,
11,132.5,,,987,722.5,,,987,,590,,623,,390,,---,,,,,,,,,
12,521.5,,,597,521.5,,,987,,590,,390,,389,,|,,,,,,,,,
13,132.5,,,"1,065.00",722.5,,,"1,065.00",,590,,233,,78,,---,,,,,,,,,
14,520.5,,,987,520.5,,,"1,065.00",,590,,78,,388,,|,,,,,,,,,
15,132.5,,,"1,143.00",722.5,,,"1,143.00",,590,,155,,78,,---,,,,,,,,,
16,520.5,,,"1,065.00",520.5,,,"1,143.00",,590,,78,,388,,|,,,,,,,,,
17,"1,160.50",,,0,"1,160.50",,,"1,220.00",,"1,717.50",,"1,220.00",,438,,|,,,,,,,,,
18,722.5,,,158,"1,160.50",,,158,,438,,"1,220.00",,158,,---,,,,,,,,,
19,722.5,,,210.5,"1,160.50",,,210.5,,438,,"1,062.00",,52.5,,---,,,,,,,,,
20,"1,129.00",,,158,"1,129.00",,,210.5,,438,,52.5,,406.5,,|,,,,,,,,,
21,722.5,,,599.5,"1,160.50",,,599.5,,438,,"1,009.50",,389,,---,,,,,,,,,
22,"1,123.00",,,210.5,"1,123.00",,,599.5,,438,,389,,400.5,,|,,,,,,,,,
23,722.5,,,987.5,"1,160.50",,,987.5,,438,,620.5,,388,,---,,,,,,,,,
24,800.5,,,599.5,800.5,,,987.5,,438,,388,,78,,|,,,,,,,,,
25,"1,649.50",,,0,"1,649.50",,,"1,220.00",,"1,279.50",,"1,220.00",,489,,|,,,,,,,,,
26,"1,160.50",,,776,"1,649.50",,,776,,489,,"1,220.00",,776,,---,,,,,,,,,
27,"1,160.50",,,934,"1,649.50",,,934,,489,,444,,158,,---,,,,,,,,,
28,"1,648.50",,,776,"1,648.50",,,934,,489,,158,,488,,|,,,,,,,,,
29,"1,160.50",,,"1,092.00","1,649.50",,,"1,092.00",,489,,286,,158,,---,,,,,,,,,
30,"1,648.50",,,934,"1,648.50",,,"1,092.00",,489,,158,,488,,|,,,,,,,,,
31,"1,160.50",,,"1,210.00","1,649.50",,,"1,210.00",,489,,128,,118,,---,,,,,,,,,
32,"1,598.50",,,"1,092.00","1,598.50",,,"1,210.00",,489,,118,,438,,|,,,,,,,,,
33,"2,037.50",,,0,"2,037.50",,,"1,220.00",,790.5,,"1,220.00",,388,,|,,,,,,,,,
34,"1,649.50",,,78,"2,037.50",,,78,,388,,"1,220.00",,78,,---,,,,,,,,,
35,"1,649.50",,,156,"2,037.50",,,156,,388,,"1,142.00",,78,,---,,,,,,,,,
36,"1,649.50",,,234,"2,037.50",,,234,,388,,"1,064.00",,78,,---,,,,,,,,,
37,"1,649.50",,,672,"2,037.50",,,672,,388,,986,,438,,---,,,,,,,,,
38,"1,807.50",,,234,"1,807.50",,,672,,388,,438,,158,,|,,,,,,,,,
39,"1,965.50",,,234,"1,965.50",,,672,,230,,438,,158,,|,,,,,,,,,
40,"1,649.50",,,"1,160.00","2,037.50",,,"1,160.00",,388,,548,,488,,---,,,,,,,,,
41,"1,807.50",,,672,"1,807.50",,,"1,160.00",,388,,488,,158,,|,,,,,,,,,
42,"1,925.50",,,672,"1,925.50",,,"1,160.00",,230,,488,,118,,|,,,,,,,,,
43,"2,195.50",,,0,"2,195.50",,,"1,220.00",,402.5,,"1,220.00",,158,,|,,,,,,,,,
44,"2,037.50",,,438,"2,195.50",,,438,,158,,"1,220.00",,438,,---,,,,,,,,,
45,"2,037.50",,,"1,193.00","2,195.50",,,"1,193.00",,158,,782,,755,,---,,,,,,,,,
46,"2,170.00",,,438,"2,170.00",,,"1,193.00",,158,,755,,132.5,,|,,,,,,,,,
47,"2,313.50",0,"2,313.50","1,220.00",244.5,"1,220.00",118,|,,,,,,,,,,,,,,,,,
48,"2,195.50",438,"2,313.50",438,118,"1,220.00",438,---,,,,,,,,,,,,,,,,,
49,"2,195.50",876,"2,313.50",876,118,782,438,---,,,,,,,,,,,,,,,,,
50,"2,366.00",0,"2,366.00","1,220.00",126.5,"1,220.00",52.5,|,,,,,,,,,,,,,,,,,
51,"2,313.50",389,"2,366.00",389,52.5,"1,220.00",389,---,,,,,,,,,,,,,,,,,
52,"2,313.50",795.5,"2,366.00",795.5,52.5,831,406.5,---,,,,,,,,,,,,,,,,,
53,"2,418.50",0,"2,418.50","1,220.00",74,"1,220.00",52.5,|,,,,,,,,,,,,,,,,,
54,"2,366.00",399.5,"2,418.50",399.5,52.5,"1,220.00",399.5,---,,,,,,,,,,,,,,,,,
55,"2,366.00",799,"2,418.50",799,52.5,820.5,399.5,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 25,844.0)   25,844.0",,,,,,Count of cuts   (1 x 55)   55,,,,,,,,,,,,,,,,,,,
