1,,0.0,,,,447.5,,"2,440.0",,,447.5,,,"2,440.0",,,"1,220.0",,,447.5,,,---,,,
2,,"2,034.0",,,,0.0,,"2,034.0",,,447.5,,,"2,440.0",,,447.5,,,"2,034.0",,,|,,,
3,,"2,427.5",,,,0.0,,"2,427.5",,,447.5,,,406.0,,,447.5,,,393.5,,,|,,,
4,,"2,034.0",,,,431.5,,"2,427.5",,,431.5,,,393.5,,,447.5,,,431.5,,,---,,,
5,,0.0,,,,"1,042.5",,"2,440.0",,,"1,042.5",,,"2,440.0",,,772.5,,,595.0,,,---,,,
6,,447.5,,,,447.5,,447.5,,,"1,042.5",,,"2,440.0",,,595.0,,,447.5,,,|,,,
7,,895.0,,,,447.5,,895.0,,,"1,042.5",,,"1,992.5",,,595.0,,,447.5,,,|,,,
8,,"2,239.0",,,,447.5,,"2,239.0",,,"1,042.5",,,"1,545.0",,,595.0,,,"1,344.0",,,|,,,
9,,895.0,,,,879.5,,"2,239.0",,,879.5,,,"1,344.0",,,595.0,,,432.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,297.5)   9,297.5",,,,,,,,,,,,,,,Count of cuts   (1 x 9)   9,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25905,,,,,,,,,,0.0,,,,0.0,,,"2,034.0",,,447.5,,,,
2,,25413,,,,,,,,,,"2,034.0",,,,0.0,,,393.5,,,431.5,,,,
3,,23892,,,,,,,,,,0.0,,,,447.5,,,"2,034.0",,,447.5,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,447.5,,"2,440.0",,,447.5,,,"2,440.0",,,"1,220.0",,,447.5,,,---,,
2,,"2,034.0",,,,0.0,,"2,034.0",,,447.5,,,"2,440.0",,,447.5,,,"2,034.0",,,|,,
3,,"2,427.5",,,,0.0,,"2,427.5",,,447.5,,,406.0,,,447.5,,,393.5,,,|,,
4,,"2,034.0",,,,431.5,,"2,427.5",,,431.5,,,393.5,,,447.5,,,431.5,,,---,,
5,,0.0,,,,895.0,,"2,440.0",,,895.0,,,"2,440.0",,,772.5,,,447.5,,,---,,
6,,"2,034.0",,,,447.5,,"2,034.0",,,895.0,,,"2,440.0",,,447.5,,,"2,034.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 6,616.0)   6,616.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
4 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25841,,,,,,,,,,0.0,,,,0.0,,,"1,344.0",,,431.5,,,,
2,,27144,,*,,,,,*,,,0.0,,,,431.5,,,"1,344.0",,,431.5,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,344.0",,,,0.0,,"1,344.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,344.0",,,|,,
2,,0.0,,,,431.5,,"1,344.0",,,431.5,,,"1,344.0",,,"1,220.0",,,431.5,,,---,,
3,,0.0,,,,863.0,,"1,344.0",,,863.0,,,"1,344.0",,,788.5,,,431.5,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,908.0)   3,908.0",,,,,,,,,,,,,,,Count of cuts   (1 x 3)   3,,,,,,,,,,,
