Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4,0,,,"1,055.00",289,,,"1,055.00",,289,,283,,118,,---,,,,,,,,,
5,288,,,937,288,,,"1,055.00",,289,,118,,288,,|,,,,,,,,,
6,0,,,"1,173.00",289,,,"1,173.00",,289,,165,,118,,---,,,,,,,,,
7,288,,,"1,055.00",288,,,"1,173.00",,289,,118,,288,,|,,,,,,,,,
8,525,,,0,525,,,"1,220.00",,"2,151.00",,"1,220.00",,236,,|,,,,,,,,,
9,289,,,389,525,,,389,,236,,"1,220.00",,389,,---,,,,,,,,,
10,289,,,677,525,,,677,,236,,831,,288,,---,,,,,,,,,
11,407,,,389,407,,,677,,236,,288,,118,,|,,,,,,,,,
12,289,,,"1,165.00",525,,,"1,165.00",,236,,543,,488,,---,,,,,,,,,
13,487,,,677,487,,,"1,165.00",,236,,488,,198,,|,,,,,,,,,
14,998,,,0,998,,,"1,220.00",,"1,915.00",,"1,220.00",,473,,|,,,,,,,,,
15,525,,,289,998,,,289,,473,,"1,220.00",,289,,---,,,,,,,,,
16,525,,,578,998,,,578,,473,,931,,289,,---,,,,,,,,,
17,989,,,289,989,,,578,,473,,289,,464,,|,,,,,,,,,
18,525,,,670.5,998,,,670.5,,473,,642,,92.5,,---,,,,,,,,,
19,988,,,578,988,,,670.5,,473,,92.5,,463,,|,,,,,,,,,
20,525,,,982.5,998,,,982.5,,473,,549.5,,312,,---,,,,,,,,,
21,964,,,670.5,964,,,982.5,,473,,312,,439,,|,,,,,,,,,
22,525,,,"1,100.50",998,,,"1,100.50",,473,,237.5,,118,,---,,,,,,,,,
23,963,,,982.5,963,,,"1,100.50",,473,,118,,438,,|,,,,,,,,,
24,525,,,"1,218.50",998,,,"1,218.50",,473,,119.5,,118,,---,,,,,,,,,
25,963,,,"1,100.50",963,,,"1,218.50",,473,,118,,438,,|,,,,,,,,,
26,"1,504.00",,,0,"1,504.00",,,"1,220.00",,"1,442.00",,"1,220.00",,506,,|,,,,,,,,,
27,998,,,489,"1,504.00",,,489,,506,,"1,220.00",,489,,---,,,,,,,,,
28,998,,,661.5,"1,504.00",,,661.5,,506,,731,,172.5,,---,,,,,,,,,
29,"1,503.00",,,489,"1,503.00",,,661.5,,506,,172.5,,505,,|,,,,,,,,,
30,998,,,834,"1,504.00",,,834,,506,,558.5,,172.5,,---,,,,,,,,,
31,"1,503.00",,,661.5,"1,503.00",,,834,,506,,172.5,,505,,|,,,,,,,,,
32,998,,,966.5,"1,504.00",,,966.5,,506,,386,,132.5,,---,,,,,,,,,
33,"1,503.00",,,834,"1,503.00",,,966.5,,506,,132.5,,505,,|,,,,,,,,,
34,998,,,"1,124.50","1,504.00",,,"1,124.50",,506,,253.5,,158,,---,,,,,,,,,
35,"1,486.00",,,966.5,"1,486.00",,,"1,124.50",,506,,158,,488,,|,,,,,,,,,
36,998,,,"1,217.00","1,504.00",,,"1,217.00",,506,,95.5,,92.5,,---,,,,,,,,,
37,"1,470.00",,,"1,124.50","1,470.00",,,"1,217.00",,506,,92.5,,472,,|,,,,,,,,,
38,"1,993.00",,,0,"1,993.00",,,"1,220.00",,936,,"1,220.00",,489,,|,,,,,,,,,
39,"1,504.00",,,506,"1,993.00",,,506,,489,,"1,220.00",,506,,---,,,,,,,,,
40,"1,504.00",,,"1,012.00","1,993.00",,,"1,012.00",,489,,714,,506,,---,,,,,,,,,
41,"1,504.00",,,"1,210.00","1,993.00",,,"1,210.00",,489,,208,,198,,---,,,,,,,,,
42,"1,992.00","1,012.00","1,992.00","1,210.00",489,198,488,|,,,,,,,,,,,,,,,,,
43,"2,085.50",0,"2,085.50","1,220.00",447,"1,220.00",92.5,|,,,,,,,,,,,,,,,,,
44,"1,993.00",235,"2,085.50",235,92.5,"1,220.00",235,---,,,,,,,,,,,,,,,,,
45,"1,993.00",698,"2,085.50",698,92.5,985,463,---,,,,,,,,,,,,,,,,,
46,"1,993.00","1,170.00","2,085.50","1,170.00",92.5,522,472,---,,,,,,,,,,,,,,,,,
47,"2,203.50",0,"2,203.50","1,220.00",354.5,"1,220.00",118,|,,,,,,,,,,,,,,,,,
48,"2,085.50",288,"2,203.50",288,118,"1,220.00",288,---,,,,,,,,,,,,,,,,,
49,"2,085.50",576,"2,203.50",576,118,932,288,---,,,,,,,,,,,,,,,,,
50,"2,085.50",864,"2,203.50",864,118,644,288,---,,,,,,,,,,,,,,,,,
51,"2,085.50","1,152.00","2,203.50","1,152.00",118,356,288,---,,,,,,,,,,,,,,,,,
52,"2,439.50",0,"2,439.50","1,220.00",236.5,"1,220.00",236,|,,,,,,,,,,,,,,,,,
53,"2,203.50",389,"2,439.50",389,236,"1,220.00",389,---,,,,,,,,,,,,,,,,,
54,"2,203.50",777,"2,439.50",777,236,831,388,---,,,,,,,,,,,,,,,,,
55,"2,321.50",389,"2,321.50",777,236,388,118,|,,,,,,,,,,,,,,,,,
56,"2,203.50","1,065.00","2,439.50","1,065.00",236,443,288,---,,,,,,,,,,,,,,,,,
57,"2,321.50",777,"2,321.50","1,065.00",236,288,118,|,,,,,,,,,,,,,,,,,
58,"2,203.50","1,157.50","2,439.50","1,157.50",236,155,92.5,---,,,,,,,,,,,,,,,,,
59,"2,438.50","1,065.00","2,438.50","1,157.50",236,92.5,235,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 24,294.5)   24,294.5",,,,,,Count of cuts   (1 x 59)   59,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7168,,,,,,,,,,0,,,,0,,,289,,,464,,,*
2,,3878,,,,,,,,,,289,,,,0,,,289,,,464,,,*
3,,5372,,,,,,,,,,578,,,,0,,,92.5,,,463,,,*
4,,8698,,,,,,,,,,670.5,,,,0,,,92.5,,,311,,,*
5,,5834,,,,,,,,,,0,,,,464,,,92.5,,,463,,,*
6,,12230,,,,,,,,,,92.5,,,,464,,,118,,,388,,,*
7,,7861,,,,,,,,,,210.5,,,,464,,,488,,,198,,,
8,,11158,,,,,,,,,,210.5,,,,662,,,488,,,198,,,
9,,9218,,,,,,,,,,0,,,,927,,,388,,,118,,,
10,,7452,,,,,,,,,,388,,,,927,,,288,,,118,,,
11,,10564,,,,,,,,,,0,,,,"1,045.00",,,488,,,158,,,
12,,7003,,*,,,,,*,,,488,,,,"1,045.00",,,288,,,118,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,776,,,,0,,776,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,776,,,|,,
2,,0,,,,464,,776,,,464,,,776,,,"1,220.00",,,464,,,---,,
3,,289,,,,0,,289,,,464,,,776,,,464,,,289,,,|,,
4,,578,,,,0,,578,,,464,,,487,,,464,,,289,,,|,,
5,,670.5,,,,0,,670.5,,,464,,,198,,,464,,,92.5,,,|,,
6,,578,,,,463,,670.5,,,463,,,92.5,,,464,,,463,,,---,,
7,,763,,,,0,,763,,,464,,,105.5,,,464,,,92.5,,,|,,
8,,670.5,,,,311,,763,,,311,,,92.5,,,464,,,311,,,---,,
9,,0,,,,927,,776,,,927,,,776,,,756,,,463,,,---,,
10,,92.5,,,,464,,92.5,,,927,,,776,,,463,,,92.5,,,|,,
11,,210.5,,,,464,,210.5,,,927,,,683.5,,,463,,,118,,,|,,
12,92.5,852,210.5,852,118,463,388,---,,,,,,,,,,,,,,,,,
13,698.5,464,698.5,927,565.5,463,488,|,,,,,,,,,,,,,,,,,
14,210.5,662,698.5,662,488,463,198,---,,,,,,,,,,,,,,,,,
15,210.5,860,698.5,860,488,265,198,---,,,,,,,,,,,,,,,,,
16,0,"1,045.00",776,"1,045.00",776,293,118,---,,,,,,,,,,,,,,,,,
17,388,927,388,"1,045.00",776,118,388,|,,,,,,,,,,,,,,,,,
18,676,927,676,"1,045.00",388,118,288,|,,,,,,,,,,,,,,,,,
19,0,"1,203.00",776,"1,203.00",776,175,158,---,,,,,,,,,,,,,,,,,
20,488,"1,045.00",488,"1,203.00",776,158,488,|,,,,,,,,,,,,,,,,,
21,488,"1,163.00",776,"1,163.00",288,158,118,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,530.0)   9,530.0",,,,,,Count of cuts   (1 x 21)   21,,,,,,,,,,,,,,,,,,,
