4,,778.0,,,,0.0,,778.0,,,347.0,,,"1,792.0",,,347.0,,,389.0,,,|,,,
5,,910.5,,,,0.0,,910.5,,,347.0,,,"1,403.0",,,347.0,,,132.5,,,|,,,
6,,778.0,,,,346.0,,910.5,,,346.0,,,132.5,,,347.0,,,346.0,,,---,,,
7,,"1,293.5",,,,0.0,,"1,293.5",,,347.0,,,"1,270.5",,,347.0,,,383.0,,,|,,,
8,,910.5,,,,343.0,,"1,293.5",,,343.0,,,383.0,,,347.0,,,343.0,,,---,,,
9,,0.0,,,,"1,210.0",,"2,181.0",,,"1,210.0",,,"2,181.0",,,873.0,,,863.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,485.5)   7,485.5",,,,,,,,,,,,,,,Count of cuts   (1 x 9)   9,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 8,,,1,,,,,,,,,,2,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33517,,,,,,,,,,0.0,,,,0.0,,,"2,181.0",,,962.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,962.0,,"2,440.0",,,962.0,,,"2,440.0",,,"1,220.0",,,962.0,,,---,,
2,,"2,181.0",,,,0.0,,"2,181.0",,,962.0,,,"2,440.0",,,962.0,,,"2,181.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,402.0)   3,402.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
4 of 8,,,1,,,,,,,,,,2,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,35366,,,,,,,,,,0.0,,,,0.0,,,"2,181.0",,,764.0,,,,,
2,,33842,,,,,,,,,,0.0,,,,764.0,,,699.0,,,383.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,181.0",,,,0.0,,"2,181.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,181.0",,,|,,,
2,,0.0,,,,764.0,,"2,181.0",,,764.0,,,"2,181.0",,,"1,220.0",,,764.0,,,---,,,
3,,0.0,,,,"1,147.0",,"2,181.0",,,"1,147.0",,,"2,181.0",,,456.0,,,383.0,,,---,,,
4,,699.0,,,,764.0,,699.0,,,"1,147.0",,,"2,181.0",,,383.0,,,699.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 5,965.0)   5,965.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
5 of 8,,,1,,,,,,,,,,2,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,34818,,,,,,,,,,0.0,,,,0.0,,,"2,181.0",,,863.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,863.0,,"2,440.0",,,863.0,,,"2,440.0",,,"1,220.0",,,863.0,,,---,,
2,,"2,181.0",,,,0.0,,"2,181.0",,,863.0,,,"2,440.0",,,863.0,,,"2,181.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,303.0)   3,303.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
6 of 8,,,1,,,,,,,,,,2,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,36036,,,,,,,,,,0.0,,,,0.0,,,"2,181.0",,,764.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,764.0,,"2,440.0",,,764.0,,,"2,440.0",,,"1,220.0",,,764.0,,,---,,
2,,"2,181.0",,,,0.0,,"2,181.0",,,764.0,,,"2,440.0",,,764.0,,,"2,181.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,204.0)   3,204.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
7 of 8,,,1,,,,,,,,,,2,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32620,,,,,,,,,,0.0,,,,0.0,,,"2,181.0",,,611.5,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,611.5,,"2,440.0",,,611.5,,,"2,440.0",,,"1,220.0",,,611.5,,,---,,
2,,"2,181.0",,,,0.0,,"2,181.0",,,611.5,,,"2,440.0",,,611.5,,,"2,181.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,051.5)   3,051.5",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
8 of 8,,,1,,,,,,,,,,2,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,37135,,*,,,,,*,,,0.0,,,,0.0,,,646.5,,,795.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,646.5,,,,0.0,,646.5,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,646.5,,,|,,
2,,0.0,,,,795.0,,646.5,,,795.0,,,646.5,,,"1,220.0",,,795.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 1,866.5)   1,866.5",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
