5,,0,,,,726,,"2,440.00",,,726,,,"2,440.00",,,924,,,430,,,---,,
6,,"2,034.00",,,,296,,"2,034.00",,,726,,,"2,440.00",,,430,,,"2,034.00",,,|,,
7,,"2,438.50",,,,296,,"2,438.50",,,726,,,406,,,430,,,404.5,,,|,,
8,,"2,034.00",,,,636,,"2,438.50",,,636,,,404.5,,,430,,,340,,,---,,
9,,539.5,,,,726,,539.5,,,"1,220.00",,,"2,440.00",,,494,,,539.5,,,|,,
10,,0,,,,"1,208.00",,539.5,,,"1,208.00",,,539.5,,,494,,,482,,,---,,
11,,"2,423.50",,,,726,,"2,423.50",,,"1,220.00",,,"1,900.50",,,494,,,"1,884.00",,,|,,
12,,539.5,,,,"1,205.00",,"2,423.50",,,"1,205.00",,,"1,884.00",,,494,,,479,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,444.0)   10,444.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1317,,,,,,,,,,0,,,,0,,,454,,,560,,,
2,,423,,,,,,,,,,454,,,,0,,,"1,972.00",,,557,,,
3,,3159,,,,,,,,,,0,,,,560,,,"2,034.00",,,482,,,
4,,2727,,,,,,,,,,"2,034.00",,,,560,,,394.5,,,465,,,*
5,,2792,,,,,,,,,,0,,,,"1,042.00",,,"2,218.00",,,58,,,
6,,2463,,,,,,,,,,0,,,,"1,100.00",,,"2,198.00",,,58,,,
7,,459,,,,,,,,,,0,,,,"1,158.00",,,"2,048.00",,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,560,,"2,440.00",,,560,,,"2,440.00",,,"1,220.00",,,560,,,---,,
2,,454,,,,0,,454,,,560,,,"2,440.00",,,560,,,454,,,|,,
3,,"2,426.00",,,,0,,"2,426.00",,,560,,,"1,986.00",,,560,,,"1,972.00",,,|,,
4,,454,,,,557,,"2,426.00",,,557,,,"1,972.00",,,560,,,557,,,---,,
5,,0,,,,"1,042.00",,"2,440.00",,,"1,042.00",,,"2,440.00",,,660,,,482,,,---,,
6,,"2,034.00",,,,560,,"2,034.00",,,"1,042.00",,,"2,440.00",,,482,,,"2,034.00",,,|,,
7,,"2,428.50",,,,560,,"2,428.50",,,"1,042.00",,,406,,,482,,,394.5,,,|,,
8,,"2,034.00",,,,"1,025.00",,"2,428.50",,,"1,025.00",,,394.5,,,482,,,465,,,---,,
9,,0,,,,"1,100.00",,"2,440.00",,,"1,100.00",,,"2,440.00",,,178,,,58,,,---,,
10,,"2,218.00",,,,"1,042.00",,"2,218.00",,,"1,100.00",,,"2,440.00",,,58,,,"2,218.00",,,|,,
11,,0,,,,"1,158.00",,"2,440.00",,,"1,158.00",,,"2,440.00",,,120,,,58,,,---,,
12,,"2,198.00",,,,"1,100.00",,"2,198.00",,,"1,158.00",,,"2,440.00",,,58,,,"2,198.00",,,|,,
13,,0,,,,"1,216.00",,"2,440.00",,,"1,216.00",,,"2,440.00",,,62,,,58,,,---,,
14,,"2,048.00",,,,"1,158.00",,"2,048.00",,,"1,216.00",,,"2,440.00",,,58,,,"2,048.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 16,824.5)   16,824.5",,,,,,,,,,,,,,,Count of cuts   (1 x 14)   14,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
5 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2730,,,,,,,,,,0,,,,0,,,"1,884.00",,,477.5,,,
2,,2685,,,,,,,,,,0,,,,477.5,,,945,,,579,,,
3,,3277,,,,,,,,,,945,,,,477.5,,,936,,,579,,,
4,,577,,,,,,,,,,0,,,,"1,056.50",,,998,,,148,,,
5,,70,,,,,,,,,,998,,,,"1,056.50",,,768,,,148,,,
6,,3515,,,,,,,,,,"1,884.00",,,,0,,,536,,,774.5,,,*
7,,3156,,,,,,,,,,"1,884.00",,,,774.5,,,536,,,383,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,884.00",,,,0,,"1,884.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,884.00",,,|,,
2,,0,,,,477.5,,"1,884.00",,,477.5,,,"1,884.00",,,"1,220.00",,,477.5,,,---,,
3,,0,,,,"1,056.50",,"1,884.00",,,"1,056.50",,,"1,884.00",,,742.5,,,579,,,---,,
4,,945,,,,477.5,,945,,,"1,056.50",,,"1,884.00",,,579,,,945,,,|,,
5,,"1,881.00",,,,477.5,,"1,881.00",,,"1,056.50",,,939,,,579,,,936,,,|,,
6,,0,,,,"1,204.50",,"1,884.00",,,"1,204.50",,,"1,884.00",,,163.5,,,148,,,---,,
7,,998,,,,"1,056.50",,998,,,"1,204.50",,,"1,884.00",,,148,,,998,,,|,,
8,,"1,766.00",,,,"1,056.50",,"1,766.00",,,"1,204.50",,,886,,,148,,,768,,,|,,
9,,"2,420.00",,,,0,,"2,420.00",,,"1,220.00",,,556,,,"1,220.00",,,536,,,|,,
10,,"1,884.00",,,,774.5,,"2,420.00",,,774.5,,,536,,,"1,220.00",,,774.5,,,---,,
11,,"1,884.00",,,,"1,157.50",,"2,420.00",,,"1,157.50",,,536,,,445.5,,,383,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,618.0)   10,618.0",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
6 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,81,,,,,,,,,,0,,,,0,,,"2,008.00",,,58,,,
2,,587,,,,,,,,,,0,,,,58,,,"1,972.00",,,555,,,
3,,2665,,,,,,,,,,0,,,,613,,,498,,,580,,,
4,,3046,,,,,,,,,,498,,,,613,,,498,,,580,,,
5,,2017,,,,,,,,,,996,,,,613,,,498,,,580,,,
6,,330,,,,,,,,,,"1,494.00",,,,613,,,498,,,580,,,
7,,370,,,,,,,,,,"2,008.00",,,,0,,,430,,,564.5,,,*
8,,3076,,,,,,,,,,"2,008.00",,,,564.5,,,430,,,564.5,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,008.00",,,,0,,"2,008.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,008.00",,,|,,
2,,0,,,,58,,"2,008.00",,,58,,,"2,008.00",,,"1,220.00",,,58,,,---,,
3,,0,,,,613,,"2,008.00",,,613,,,"2,008.00",,,"1,162.00",,,555,,,---,,
4,,"1,972.00",,,,58,,"1,972.00",,,613,,,"2,008.00",,,555,,,"1,972.00",,,|,,
5,,0,,,,"1,193.00",,"2,008.00",,,"1,193.00",,,"2,008.00",,,607,,,580,,,---,,
6,,498,,,,613,,498,,,"1,193.00",,,"2,008.00",,,580,,,498,,,|,,
7,,996,,,,613,,996,,,"1,193.00",,,"1,510.00",,,580,,,498,,,|,,
8,,"1,494.00",,,,613,,"1,494.00",,,"1,193.00",,,"1,012.00",,,580,,,498,,,|,,
9,,"1,992.00",,,,613,,"1,992.00",,,"1,193.00",,,514,,,580,,,498,,,|,,
10,,"2,438.00",,,,0,,"2,438.00",,,"1,220.00",,,432,,,"1,220.00",,,430,,,|,,
11,,"2,008.00",,,,564.5,,"2,438.00",,,564.5,,,430,,,"1,220.00",,,564.5,,,---,,
12,,"2,008.00",,,,"1,129.00",,"2,438.00",,,"1,129.00",,,430,,,655.5,,,564.5,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 12,199.0)   12,199.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
7 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1683,,,,,,,,,,0,,,,0,,,557,,,469.5,,,*
2,,1744,,,,,,,,,,0,,,,469.5,,,460,,,744,,,*
3,,344,,,,,,,,,,557,,,,0,,,936,,,579,,,
4,,1410,,,,,,,,,,557,,,,579,,,936,,,579,,,
5,,1282,,,,,,,,,,557,,,,"1,158.00",,,728,,,58,,,
6,,115,,,,,,,,,,"1,493.00",,,,0,,,945,,,579,,,
7,,2779,,,,,,,,,,"1,493.00",,,,579,,,945,,,579,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,557,,,,0,,557,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,557,,,|,,
2,,0,,,,469.5,,557,,,469.5,,,557,,,"1,220.00",,,469.5,,,---,,
3,,0,,,,"1,213.50",,557,,,"1,213.50",,,557,,,750.5,,,744,,,---,,
4,,460,,,,469.5,,460,,,"1,213.50",,,557,,,744,,,460,,,|,,
5,,"1,493.00",,,,0,,"1,493.00",,,"1,220.00",,,"1,883.00",,,"1,220.00",,,936,,,|,,
6,,557,,,,579,,"1,493.00",,,579,,,936,,,"1,220.00",,,579,,,---,,
7,,557,,,,"1,158.00",,"1,493.00",,,"1,158.00",,,936,,,641,,,579,,,---,,
8,,557,,,,"1,216.00",,"1,493.00",,,"1,216.00",,,936,,,62,,,58,,,---,,
9,,"1,285.00",,,,"1,158.00",,"1,285.00",,,"1,216.00",,,936,,,58,,,728,,,|,,
10,,"2,438.00",,,,0,,"2,438.00",,,"1,220.00",,,947,,,"1,220.00",,,945,,,|,,
11,,"1,493.00",,,,579,,"2,438.00",,,579,,,945,,,"1,220.00",,,579,,,---,,
12,,"1,493.00",,,,"1,158.00",,"2,438.00",,,"1,158.00",,,945,,,641,,,579,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,274.0)   10,274.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
8 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,859,,,,,,,,,,0,,,,0,,,815,,,385,,,
2,,1226,,,,,,,,,,815,,,,0,,,784,,,373.5,,,
3,,2530,,,,,,,,,,"1,599.00",,,,0,,,784,,,373.5,,,
4,,52,,,,,,,,,,0,,,,385,,,494.5,,,479,,,
5,,1453,,,,,,,,,,494.5,,,,385,,,"1,884.00",,,477.5,,,
6,,2651,,,,,,,,,,0,,,,864,,,581,,,340,,,
7,,1042,,,,,,,,,,581,,,,864,,,895.5,,,337.8,,,
8,,2254,,,,,,,,,,"1,476.50",,,,864,,,812,,,296,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,385,,"2,440.00",,,385,,,"2,440.00",,,"1,220.00",,,385,,,---,,
2,,815,,,,0,,815,,,385,,,"2,440.00",,,385,,,815,,,|,,
3,,"1,599.00",,,,0,,"1,599.00",,,385,,,"1,625.00",,,385,,,784,,,|,,
4,,815,,,,373.5,,"1,599.00",,,373.5,,,784,,,385,,,373.5,,,---,,
5,,"2,383.00",,,,0,,"2,383.00",,,385,,,841,,,385,,,784,,,|,,
6,,"1,599.00",,,,373.5,,"2,383.00",,,373.5,,,784,,,385,,,373.5,,,---,,
7,,0,,,,864,,"2,440.00",,,864,,,"2,440.00",,,835,,,479,,,---,,
8,,494.5,,,,385,,494.5,,,864,,,"2,440.00",,,479,,,494.5,,,|,,
9,,"2,378.50",,,,385,,"2,378.50",,,864,,,"1,945.50",,,479,,,"1,884.00",,,|,,
10,,494.5,,,,862.5,,"2,378.50",,,862.5,,,"1,884.00",,,479,,,477.5,,,---,,
11,,581,,,,864,,581,,,"1,220.00",,,"2,440.00",,,356,,,581,,,|,,
12,,0,,,,"1,204.00",,581,,,"1,204.00",,,581,,,356,,,340,,,---,,
13,,"1,476.50",,,,864,,"1,476.50",,,"1,220.00",,,"1,859.00",,,356,,,895.5,,,|,,
14,,581,,,,"1,201.80",,"1,476.50",,,"1,201.80",,,895.5,,,356,,,337.8,,,---,,
15,,"2,288.50",,,,864,,"2,288.50",,,"1,220.00",,,963.5,,,356,,,812,,,|,,
16,,"1,476.50",,,,"1,160.00",,"2,288.50",,,"1,160.00",,,812,,,356,,,296,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,801.5)   13,801.5",,,,,,,,,,,,,,,Count of cuts   (1 x 16)   16,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
9 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2210,,,,,,,,,,0,,,,0,,,454,,,560,,,
2,,2110,,,,,,,,,,454,,,,0,,,"1,972.00",,,555,,,
3,,2836,,,,,,,,,,0,,,,560,,,"2,101.00",,,557,,,
4,,2996,,,,,,,,,,"2,101.00",,,,560,,,289,,,412,,,*
5,,1529,,,,,,,,,,0,,,,"1,117.00",,,"2,028.00",,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,560,,"2,440.00",,,560,,,"2,440.00",,,"1,220.00",,,560,,,---,,
2,,454,,,,0,,454,,,560,,,"2,440.00",,,560,,,454,,,|,,
3,,"2,426.00",,,,0,,"2,426.00",,,560,,,"1,986.00",,,560,,,"1,972.00",,,|,,
4,,454,,,,555,,"2,426.00",,,555,,,"1,972.00",,,560,,,555,,,---,,
5,,0,,,,"1,117.00",,"2,440.00",,,"1,117.00",,,"2,440.00",,,660,,,557,,,---,,
6,,"2,101.00",,,,560,,"2,101.00",,,"1,117.00",,,"2,440.00",,,557,,,"2,101.00",,,|,,
7,,"2,390.00",,,,560,,"2,390.00",,,"1,117.00",,,339,,,557,,,289,,,|,,
8,,"2,101.00",,,,972,,"2,390.00",,,972,,,289,,,557,,,412,,,---,,
9,,0,,,,"1,175.00",,"2,440.00",,,"1,175.00",,,"2,440.00",,,103,,,58,,,---,,
10,,"2,028.00",,,,"1,117.00",,"2,028.00",,,"1,175.00",,,"2,440.00",,,58,,,"2,028.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,873.0)   11,873.0",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
10 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1240,,,,,,,,,,0,,,,0,,,"2,198.00",,,558,,,
2,,1100,,,,,,,,,,0,,,,558,,,"2,101.00",,,557,,,
3,,868,,,,,,,,,,0,,,,"1,115.00",,,"2,068.00",,,58,,,
4,,2424,,,,,,,,,,"2,198.00",,,,0,,,58,,,998,,,*
5,,1769,,,,,,,,,,"2,256.00",,,,0,,,58,,,"1,018.00",,,*
6,,1967,,,,,,,,,,"2,314.00",,,,0,,,58,,,"1,018.00",,,*
7,,283,,,,,,,,,,"2,372.00",,,,0,,,58,,,788,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,198.00",,,,0,,"2,198.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,198.00",,,|,,
2,,0,,,,558,,"2,198.00",,,558,,,"2,198.00",,,"1,220.00",,,558,,,---,,
3,,0,,,,"1,115.00",,"2,198.00",,,"1,115.00",,,"2,198.00",,,662,,,557,,,---,,
4,,"2,101.00",,,,558,,"2,101.00",,,"1,115.00",,,"2,198.00",,,557,,,"2,101.00",,,|,,
5,,0,,,,"1,173.00",,"2,198.00",,,"1,173.00",,,"2,198.00",,,105,,,58,,,---,,
6,,"2,068.00",,,,"1,115.00",,"2,068.00",,,"1,173.00",,,"2,198.00",,,58,,,"2,068.00",,,|,,
7,,"2,256.00",,,,0,,"2,256.00",,,"1,220.00",,,242,,,"1,220.00",,,58,,,|,,
8,,"2,198.00",,,,998,,"2,256.00",,,998,,,58,,,"1,220.00",,,998,,,---,,
9,,"2,314.00",,,,0,,"2,314.00",,,"1,220.00",,,184,,,"1,220.00",,,58,,,|,,
10,,"2,256.00",,,,"1,018.00",,"2,314.00",,,"1,018.00",,,58,,,"1,220.00",,,"1,018.00",,,---,,
11,,"2,372.00",,,,0,,"2,372.00",,,"1,220.00",,,126,,,"1,220.00",,,58,,,|,,
12,,"2,314.00",,,,"1,018.00",,"2,372.00",,,"1,018.00",,,58,,,"1,220.00",,,"1,018.00",,,---,,
13,,"2,430.00",,,,0,,"2,430.00",,,"1,220.00",,,68,,,"1,220.00",,,58,,,|,,
14,,"2,372.00",,,,788,,"2,430.00",,,788,,,58,,,"1,220.00",,,788,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,541.0)   13,541.0",,,,,,,,,,,,,,,Count of cuts   (1 x 14)   14,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
11 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2322,,,,,,,,,,0,,,,0,,,373.5,,,784,,,*
2,,1428,,,,,,,,,,373.5,,,,0,,,536,,,774.5,,,*
3,,3427,,,,,,,,,,909.5,,,,0,,,536,,,774.5,,,*
4,,1663,,,,,,,,,,"1,445.50",,,,0,,,612,,,373,,,
5,,3458,,,,,,,,,,"1,445.50",,,,373,,,612,,,373,,,
6,,735,,,,,,,,,,"2,057.50",,,,0,,,373.5,,,612,,,*
7,,3111,,,,,,,,,,0,,,,784,,,"2,034.00",,,430,,,
