5,,0,,,,"1,113.00",,"2,440.00",,,"1,113.00",,,"2,440.00",,,662,,,555,,,---,,
6,,"1,502.00",,,,558,,"1,502.00",,,"1,113.00",,,"2,440.00",,,555,,,"1,502.00",,,|,,
7,,"2,387.00",,,,558,,"2,387.00",,,"1,113.00",,,938,,,555,,,885,,,|,,
8,,"1,502.00",,,,"1,112.00",,"2,387.00",,,"1,112.00",,,885,,,555,,,554,,,---,,
9,,"2,435.00",,,,558,,"2,435.00",,,"1,113.00",,,53,,,555,,,48,,,|,,
10,,"2,387.00",,,,"1,003.00",,"2,435.00",,,"1,003.00",,,48,,,555,,,445,,,---,,
11,,0,,,,"1,171.00",,"2,440.00",,,"1,171.00",,,"2,440.00",,,107,,,58,,,---,,
12,,612,,,,"1,113.00",,612,,,"1,171.00",,,"2,440.00",,,58,,,612,,,|,,
13,,"1,400.00",,,,"1,113.00",,"1,400.00",,,"1,171.00",,,"1,828.00",,,58,,,788,,,|,,
14,"2,374.00","1,113.00","2,374.00","1,171.00","1,040.00",58,974,|,,,,,,,,,,,,,,,,,
15,445,"1,171.00",445,"1,220.00","2,440.00",49,445,|,,,,,,,,,,,,,,,,,
16,0,"1,219.00",445,"1,219.00",445,49,48,---,,,,,,,,,,,,,,,,,
17,"2,407.00","1,171.00","2,407.00","1,220.00","1,995.00",49,"1,962.00",|,,,,,,,,,,,,,,,,,
18,445,"1,209.00","2,407.00","1,209.00","1,962.00",49,38,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,762.0)   13,762.0",,,,,,Count of cuts   (1 x 18)   18,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 50,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4047,,,,,,,,,,0,,,,0,,,"2,360.00",,,578,,,
2,,6336,,,,,,,,,,0,,,,578,,,"2,360.00",,,578,,,
3,,4280,,,,,,,,,,0,,,,"1,156.00",,,435,,,58,,,
4,,7001,,,,,,,,,,435,,,,"1,156.00",,,435,,,58,,,
5,,7297,,,,,,,,,,870,,,,"1,156.00",,,741,,,58,,,
6,,5184,,,,,,,,,,"1,611.00",,,,"1,156.00",,,741,,,58,,,
7,,5471,,,,,,,,,,"2,360.00",,,,0,,,49,,,304.5,,,*
8,,3931,,,,,,,,,,"2,360.00",,,,304.5,,,48,,,195,,,*
9,,3846,,,,,,,,,,"2,360.00",,,,499.5,,,48,,,181,,,*
10,,4217,,,,,,,,,,"2,360.00",,,,680.5,,,48,,,195,,,*
11,,5995,,,,,,,,,,"2,360.00",,,,875.5,,,48,,,161,,,*
12,,3744,,,,,,,,,,"2,360.00",,,,"1,036.50",,,48,,,181,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,360.00",,,,0,,"2,360.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,360.00",,,|,,
2,,0,,,,578,,"2,360.00",,,578,,,"2,360.00",,,"1,220.00",,,578,,,---,,
3,,0,,,,"1,156.00",,"2,360.00",,,"1,156.00",,,"2,360.00",,,642,,,578,,,---,,
4,,0,,,,"1,214.00",,"2,360.00",,,"1,214.00",,,"2,360.00",,,64,,,58,,,---,,
5,,435,,,,"1,156.00",,435,,,"1,214.00",,,"2,360.00",,,58,,,435,,,|,,
6,,870,,,,"1,156.00",,870,,,"1,214.00",,,"1,925.00",,,58,,,435,,,|,,
7,,"1,611.00",,,,"1,156.00",,"1,611.00",,,"1,214.00",,,"1,490.00",,,58,,,741,,,|,,
8,,"2,352.00",,,,"1,156.00",,"2,352.00",,,"1,214.00",,,749,,,58,,,741,,,|,,
9,,"2,360.00",,,,304.5,,"2,440.00",,,304.5,,,80,,,"1,220.00",,,304.5,,,---,,
10,,"2,409.00",,,,0,,"2,409.00",,,304.5,,,80,,,304.5,,,49,,,|,,
11,,"2,360.00",,,,499.5,,"2,440.00",,,499.5,,,80,,,915.5,,,195,,,---,,
12,"2,408.00",304.5,"2,408.00",499.5,80,195,48,|,,,,,,,,,,,,,,,,,
13,"2,360.00",680.5,"2,440.00",680.5,80,720.5,181,---,,,,,,,,,,,,,,,,,
14,"2,408.00",499.5,"2,408.00",680.5,80,181,48,|,,,,,,,,,,,,,,,,,
15,"2,360.00",875.5,"2,440.00",875.5,80,539.5,195,---,,,,,,,,,,,,,,,,,
16,"2,408.00",680.5,"2,408.00",875.5,80,195,48,|,,,,,,,,,,,,,,,,,
17,"2,360.00","1,036.50","2,440.00","1,036.50",80,344.5,161,---,,,,,,,,,,,,,,,,,
18,"2,408.00",875.5,"2,408.00","1,036.50",80,161,48,|,,,,,,,,,,,,,,,,,
19,"2,360.00","1,217.50","2,440.00","1,217.50",80,183.5,181,---,,,,,,,,,,,,,,,,,
20,"2,408.00","1,036.50","2,408.00","1,217.50",80,181,48,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,229.5)   10,229.5",,,,,,Count of cuts   (1 x 20)   20,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
5 of 50,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4847,,,,,,,,,,0,,,,0,,,"1,998.00",,,558,,,
2,,4541,,,,,,,,,,"1,998.00",,,,0,,,431,,,556,,,
3,,4293,,,,,,,,,,0,,,,558,,,"2,278.00",,,558,,,
4,,5721,,,,,,,,,,"2,278.00",,,,558,,,161,,,410,,,*
5,,4279,,,,,,,,,,0,,,,"1,116.00",,,741,,,58,,,
6,,3913,,,,,,,,,,741,,,,"1,116.00",,,886,,,58,,,
7,,7114,,,,,,,,,,"1,627.00",,,,"1,116.00",,,808,,,58,,,
8,,7154,,,,,,,,,,0,,,,"1,174.00",,,"2,218.00",,,38,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,558,,"2,440.00",,,558,,,"2,440.00",,,"1,220.00",,,558,,,---,,
2,,"1,998.00",,,,0,,"1,998.00",,,558,,,"2,440.00",,,558,,,"1,998.00",,,|,,
3,,"2,429.00",,,,0,,"2,429.00",,,558,,,442,,,558,,,431,,,|,,
4,,"1,998.00",,,,556,,"2,429.00",,,556,,,431,,,558,,,556,,,---,,
5,,0,,,,"1,116.00",,"2,440.00",,,"1,116.00",,,"2,440.00",,,662,,,558,,,---,,
6,,"2,278.00",,,,558,,"2,278.00",,,"1,116.00",,,"2,440.00",,,558,,,"2,278.00",,,|,,
7,,"2,439.00",,,,558,,"2,439.00",,,"1,116.00",,,162,,,558,,,161,,,|,,
8,,"2,278.00",,,,968,,"2,439.00",,,968,,,161,,,558,,,410,,,---,,
9,,0,,,,"1,174.00",,"2,440.00",,,"1,174.00",,,"2,440.00",,,104,,,58,,,---,,
10,,741,,,,"1,116.00",,741,,,"1,174.00",,,"2,440.00",,,58,,,741,,,|,,
11,,"1,627.00",,,,"1,116.00",,"1,627.00",,,"1,174.00",,,"1,699.00",,,58,,,886,,,|,,
12,,"2,435.00",,,,"1,116.00",,"2,435.00",,,"1,174.00",,,813,,,58,,,808,,,|,,
13,,0,,,,"1,212.00",,"2,440.00",,,"1,212.00",,,"2,440.00",,,46,,,38,,,---,,
14,,"2,218.00",,,,"1,174.00",,"2,218.00",,,"1,212.00",,,"2,440.00",,,38,,,"2,218.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 12,796.0)   12,796.0",,Count of cuts   (1 x 14)   14,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
6 of 50,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4616,,,,,,,,,,0,,,,0,,,"2,302.00",,,555,,,
2,,3880,,,,,,,,,,0,,,,555,,,"2,291.00",,,557,,,
3,,5281,,,,,,,,,,0,,,,"1,112.00",,,796,,,58,,,
4,,6024,,,,,,,,,,796,,,,"1,112.00",,,752,,,58,,,
5,,4253,,,,,,,,,,"1,548.00",,,,"1,112.00",,,741,,,58,,,
6,,5884,,,,,,,,,,0,,,,"1,170.00",,,"2,278.00",,,38,,,
7,,5353,,,,,,,,,,"2,302.00",,,,0,,,38,,,980,,,*
8,,6815,,,,,,,,,,"2,340.00",,,,0,,,58,,,598,,,*
9,,5954,,,,,,,,,,"2,340.00",,,,598,,,58,,,612,,,*
10,,7435,,,,,,,,,,"2,398.00",,,,0,,,38,,,832,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,302.00",,,,0,,"2,302.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,302.00",,,|,,
2,,0,,,,555,,"2,302.00",,,555,,,"2,302.00",,,"1,220.00",,,555,,,---,,
3,,0,,,,"1,112.00",,"2,302.00",,,"1,112.00",,,"2,302.00",,,665,,,557,,,---,,
4,,"2,291.00",,,,555,,"2,291.00",,,"1,112.00",,,"2,302.00",,,557,,,"2,291.00",,,|,,
5,,0,,,,"1,170.00",,"2,302.00",,,"1,170.00",,,"2,302.00",,,108,,,58,,,---,,
6,,796,,,,"1,112.00",,796,,,"1,170.00",,,"2,302.00",,,58,,,796,,,|,,
7,,"1,548.00",,,,"1,112.00",,"1,548.00",,,"1,170.00",,,"1,506.00",,,58,,,752,,,|,,
8,,"2,289.00",,,,"1,112.00",,"2,289.00",,,"1,170.00",,,754,,,58,,,741,,,|,,
9,,0,,,,"1,208.00",,"2,302.00",,,"1,208.00",,,"2,302.00",,,50,,,38,,,---,,
10,,"2,278.00",,,,"1,170.00",,"2,278.00",,,"1,208.00",,,"2,302.00",,,38,,,"2,278.00",,,|,,
11,,"2,340.00",,,,0,,"2,340.00",,,"1,220.00",,,138,,,"1,220.00",,,38,,,|,,
12,,"2,302.00",,,,980,,"2,340.00",,,980,,,38,,,"1,220.00",,,980,,,---,,
13,,"2,398.00",,,,0,,"2,398.00",,,"1,220.00",,,100,,,"1,220.00",,,58,,,|,,
14,"2,340.00",598,"2,398.00",598,58,"1,220.00",598,---,,,,,,,,,,,,,,,,,
15,"2,340.00","1,210.00","2,398.00","1,210.00",58,622,612,---,,,,,,,,,,,,,,,,,
16,"2,436.00",0,"2,436.00","1,220.00",42,"1,220.00",38,|,,,,,,,,,,,,,,,,,
17,"2,398.00",832,"2,436.00",832,38,"1,220.00",832,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 15,049.0)   15,049.0",,,,,,Count of cuts   (1 x 17)   17,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
7 of 50,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6053,,,,,,,,,,0,,,,0,,,"2,302.00",,,557,,,
2,,6824,,,,,,,,,,"2,302.00",,,,0,,,58,,,477,,,*
3,,4074,,,,,,,,,,"2,360.00",,,,0,,,58,,,477,,,*
4,,4767,,,,,,,,,,0,,,,557,,,"2,360.00",,,578,,,
5,,3603,,,,,,,,,,"2,360.00",,,,557,,,48,,,195,,,*
6,,6845,,,,,,,,,,"2,360.00",,,,752,,,48,,,181,,,*
7,,4580,,,,,,,,,,"2,360.00",,,,933,,,48,,,195,,,*
8,,6140,,,,,,,,,,0,,,,"1,135.00",,,"2,398.00",,,38,,,
9,,4978,,,,,,,,,,0,,,,"1,173.00",,,"1,031.00",,,38,,,
10,,6121,,,,,,,,,,"1,031.00",,,,"1,173.00",,,998.5,,,38,,,
11,,7520,,,,,,,,,,"2,029.50",,,,"1,173.00",,,348,,,38,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,557,,"2,440.00",,,557,,,"2,440.00",,,"1,220.00",,,557,,,---,,
2,,"2,302.00",,,,0,,"2,302.00",,,557,,,"2,440.00",,,557,,,"2,302.00",,,|,,
3,,"2,360.00",,,,0,,"2,360.00",,,557,,,138,,,557,,,58,,,|,,
4,,"2,302.00",,,,477,,"2,360.00",,,477,,,58,,,557,,,477,,,---,,
5,,"2,418.00",,,,0,,"2,418.00",,,557,,,80,,,557,,,58,,,|,,
6,,"2,360.00",,,,477,,"2,418.00",,,477,,,58,,,557,,,477,,,---,,
7,,0,,,,"1,135.00",,"2,440.00",,,"1,135.00",,,"2,440.00",,,663,,,578,,,---,,
8,,"2,360.00",,,,557,,"2,360.00",,,"1,135.00",,,"2,440.00",,,578,,,"2,360.00",,,|,,
9,,"2,408.00",,,,557,,"2,408.00",,,"1,135.00",,,80,,,578,,,48,,,|,,
10,,"2,360.00",,,,752,,"2,408.00",,,752,,,48,,,578,,,195,,,---,,
11,,"2,360.00",,,,933,,"2,408.00",,,933,,,48,,,383,,,181,,,---,,
12,,"2,360.00",,,,"1,128.00",,"2,408.00",,,"1,128.00",,,48,,,202,,,195,,,---,,
13,0,"1,173.00","2,440.00","1,173.00","2,440.00",85,38,---,,,,,,,,,,,,,,,,,
14,"2,398.00","1,135.00","2,398.00","1,173.00","2,440.00",38,"2,398.00",|,,,,,,,,,,,,,,,,,
15,0,"1,211.00","2,440.00","1,211.00","2,440.00",47,38,---,,,,,,,,,,,,,,,,,
16,"1,031.00","1,173.00","1,031.00","1,211.00","2,440.00",38,"1,031.00",|,,,,,,,,,,,,,,,,,
17,"2,029.50","1,173.00","2,029.50","1,211.00","1,409.00",38,998.5,|,,,,,,,,,,,,,,,,,
18,"2,377.50","1,173.00","2,377.50","1,211.00",410.5,38,348,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 12,999.0)   12,999.0",,,,,,Count of cuts   (1 x 18)   18,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
8 of 50,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7060,,,,,,,,,,0,,,,0,,,445,,,48,,,
2,,5026,,,,,,,,,,445,,,,0,,,181,,,48,,,
3,,7102,,,,,,,,,,626,,,,0,,,195,,,48,,,
4,,6348,,,,,,,,,,821,,,,0,,,445,,,48,,,
5,,4600,,,,,,,,,,"1,266.00",,,,0,,,445,,,48,,,
6,,6958,,,,,,,,,,"1,711.00",,,,0,,,181,,,48,,,
7,,4210,,,,,,,,,,"1,892.00",,,,0,,,161,,,48,,,
8,,4350,,,,,,,,,,"2,053.00",,,,0,,,161,,,48,,,
9,,7339,,,,,,,,,,"2,214.00",,,,0,,,195,,,48,,,
10,,3919,,,,,,,,,,0,,,,48,,,"2,068.00",,,596,,,
11,,3813,,,,,,,,,,"2,068.00",,,,48,,,361,,,536,,,
12,,6566,,,,,,,,,,0,,,,644,,,"2,388.00",,,558,,,
13,,4603,,,,,,,,,,"2,388.00",,,,644,,,48,,,181,,,*
14,,4078,,,,,,,,,,"2,388.00",,,,825,,,48,,,181,,,*
15,,6384,,,,,,,,,,"2,388.00",,,,"1,006.00",,,48,,,181,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,48,,"2,440.00",,,48,,,"2,440.00",,,"1,220.00",,,48,,,---,,
2,,445,,,,0,,445,,,48,,,"2,440.00",,,48,,,445,,,|,,
3,,626,,,,0,,626,,,48,,,"1,995.00",,,48,,,181,,,|,,
4,,821,,,,0,,821,,,48,,,"1,814.00",,,48,,,195,,,|,,
5,,"1,266.00",,,,0,,"1,266.00",,,48,,,"1,619.00",,,48,,,445,,,|,,
6,,"1,711.00",,,,0,,"1,711.00",,,48,,,"1,174.00",,,48,,,445,,,|,,
7,,"1,892.00",,,,0,,"1,892.00",,,48,,,729,,,48,,,181,,,|,,
8,,"2,053.00",,,,0,,"2,053.00",,,48,,,548,,,48,,,161,,,|,,
9,"2,214.00",0,"2,214.00",48,387,48,161,|,,,,,,,,,,,,,,,,,
10,"2,409.00",0,"2,409.00",48,226,48,195,|,,,,,,,,,,,,,,,,,
11,0,644,"2,440.00",644,"2,440.00","1,172.00",596,---,,,,,,,,,,,,,,,,,
12,"2,068.00",48,"2,068.00",644,"2,440.00",596,"2,068.00",|,,,,,,,,,,,,,,,,,
13,"2,429.00",48,"2,429.00",644,372,596,361,|,,,,,,,,,,,,,,,,,
14,"2,068.00",584,"2,429.00",584,361,596,536,---,,,,,,,,,,,,,,,,,
15,0,"1,202.00","2,440.00","1,202.00","2,440.00",576,558,---,,,,,,,,,,,,,,,,,
16,"2,388.00",644,"2,388.00","1,202.00","2,440.00",558,"2,388.00",|,,,,,,,,,,,,,,,,,
17,"2,436.00",644,"2,436.00","1,202.00",52,558,48,|,,,,,,,,,,,,,,,,,
18,"2,388.00",825,"2,436.00",825,48,558,181,---,,,,,,,,,,,,,,,,,
19,"2,388.00","1,006.00","2,436.00","1,006.00",48,377,181,---,,,,,,,,,,,,,,,,,
20,"2,388.00","1,187.00","2,436.00","1,187.00",48,196,181,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,565.0)   10,565.0",,,,,,Count of cuts   (1 x 20)   20,,,,,,,,,,,,,,,,,,,
