Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
22,"1,094.00",776,"1,094.00","1,114.00",238,338,118,|,,,,,,,,,,,,,,,,,
23,"1,212.00",776,"1,212.00","1,114.00",120,338,118,|,,,,,,,,,,,,,,,,,
24,"1,452.00",0,"1,452.00","1,220.00","1,226.00","1,220.00",238,|,,,,,,,,,,,,,,,,,
25,"1,214.00",438,"1,452.00",438,238,"1,220.00",438,---,,,,,,,,,,,,,,,,,
26,"1,214.00",826,"1,452.00",826,238,782,388,---,,,,,,,,,,,,,,,,,
27,"1,372.00",438,"1,372.00",826,238,388,158,|,,,,,,,,,,,,,,,,,
28,"1,450.00",438,"1,450.00",826,80,388,78,|,,,,,,,,,,,,,,,,,
29,"1,214.00","1,214.00","1,452.00","1,214.00",238,394,388,---,,,,,,,,,,,,,,,,,
30,"1,372.00",826,"1,372.00","1,214.00",238,388,158,|,,,,,,,,,,,,,,,,,
31,"1,450.00",826,"1,450.00","1,214.00",80,388,78,|,,,,,,,,,,,,,,,,,
32,"1,941.00",0,"1,941.00","1,220.00",988,"1,220.00",489,|,,,,,,,,,,,,,,,,,
33,"1,452.00",765.5,"1,941.00",765.5,489,"1,220.00",765.5,---,,,,,,,,,,,,,,,,,
34,"1,452.00","1,203.50","1,941.00","1,203.50",489,454.5,438,---,,,,,,,,,,,,,,,,,
35,"1,610.00",765.5,"1,610.00","1,203.50",489,438,158,|,,,,,,,,,,,,,,,,,
36,"1,768.00",765.5,"1,768.00","1,203.50",331,438,158,|,,,,,,,,,,,,,,,,,
37,"1,926.00",765.5,"1,926.00","1,203.50",173,438,158,|,,,,,,,,,,,,,,,,,
38,"2,430.00",0,"2,430.00","1,220.00",499,"1,220.00",489,|,,,,,,,,,,,,,,,,,
39,"1,941.00",765.5,"2,430.00",765.5,489,"1,220.00",765.5,---,,,,,,,,,,,,,,,,,
40,"1,941.00","1,203.50","2,430.00","1,203.50",489,454.5,438,---,,,,,,,,,,,,,,,,,
41,"2,179.00",765.5,"2,179.00","1,203.50",489,438,238,|,,,,,,,,,,,,,,,,,
42,"2,417.00",765.5,"2,417.00","1,203.50",251,438,238,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 21,162.0)   21,162.0",,,,,,Count of cuts   (1 x 42)   42,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,Description,,,,Remnants,,Length,,Width,,Repeat,,,,,,,,,
3 of 4,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,28044,,,,,,,,,,0,,,,0,,,351,,,389,,,
2,,30845,,,,,,,,,,0,,,,389,*,,172.5,,,764.5,,,
3,,29665,,,,,,,,,,172.5,,,,389,*,,172.5,,,764.5,,,
4,,30849,,,,,,,,,,351,,,,0,,,708,,,389,,,
5,,27986,,,,,,,,,,351,,,,389,,,664,,,289,,,
6,,27434,,,,,,,,,,351,,,,678,,,664,,,289,,,
7,,27857,,,,,,,,,,351,,,,967,,,625,,,132.5,,,
8,,28407,,,,,,,,,,351,,,,"1,099.50",,,338,,,118,,,
9,,29968,,,,,,,,,,689,,,,"1,099.50",,,338,,,118,,,
10,,28008,,,,,,,,,,"1,059.00",,,,0,*,,132.5,,,350,,,
11,,31924,,,,,,,,,,"1,059.00",,,,350,*,,132.5,,,625,,,
12,,30770,,,,,,,,,,"1,191.50",,,,0,,,364,,,339,,,
13,,32010,,,,,,,,,,"1,191.50",,,,339,,,363.5,,,339,,,
14,,29365,,,,,,,,,,"1,191.50",,,,678,*,,339,,,304,,,
15,,30113,,,,,,,,,,"1,191.50",,,,982,,,338,,,118,,,
16,,30742,,,,,,,,,,"1,191.50",,,,"1,100.00",,,338,,,118,,,
17,,28289,,,,,,,,,,"1,555.50",,,,0,*,,198,,,488,,,
18,,32022,,,,,,,,,,"1,555.50",,,,488,*,,198,,,288,,,
19,,30476,,,,,,,,,,"1,555.50",,,,776,*,,158,,,438,,,
20,,29012,,,,,,,,,,"1,753.50",,,,0,,,488,,,198,,,
21,,28525,,,,,,,,,,"1,753.50",,,,198,,,488,,,198,,,
22,,29928,,,,,,,,,,"1,753.50",,,,396,,,488,,,198,,,
23,,32395,,,,,,,,,,"1,753.50",,,,594,,,338,,,118,,,
24,,32362,,,,,,,,,,"1,753.50",,,,712,*,,198,,,488,,,
25,,31069,,,,,,,,,,"1,951.50",,,,712,*,,198,,,488,,,
26,,28291,,,,,,,,,,"2,149.50",,,,712,*,,78,,,488,,,
27,,29439,,,,,,,,,,"2,241.50",,,,0,,*,198,,,488,,,
28,,32343,,,,,,,,,,"2,241.50",,,,488,,*,172.5,,,663,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,351,,,0,351,,,"1,220.00",,"2,440.00",,"1,220.00",,351,,|,,,,,,,,,
2,0,,,389,351,,,389,,351,,"1,220.00",,389,,---,,,,,,,,,
3,0,,,"1,153.50",351,,,"1,153.50",,351,,831,,764.5,,---,,,,,,,,,
4,172.5,,,389,172.5,,,"1,153.50",,351,,764.5,,172.5,,|,,,,,,,,,
5,345,,,389,345,,,"1,153.50",,178.5,,764.5,,172.5,,|,,,,,,,,,
6,"1,059.00",,,0,"1,059.00",,,"1,220.00",,"2,089.00",,"1,220.00",,708,,|,,,,,,,,,
7,351,,,389,"1,059.00",,,389,,708,,"1,220.00",,389,,---,,,,,,,,,
8,351,,,678,"1,059.00",,,678,,708,,831,,289,,---,,,,,,,,,
9,"1,015.00",,,389,"1,015.00",,,678,,708,,289,,664,,|,,,,,,,,,
10,351,,,967,"1,059.00",,,967,,708,,542,,289,,---,,,,,,,,,
11,"1,015.00",,,678,"1,015.00",,,967,,708,,289,,664,,|,,,,,,,,,
12,351,,,"1,099.50","1,059.00",,,"1,099.50",,708,,253,,132.5,,---,,,,,,,,,
13,976,,,967,976,,,"1,099.50",,708,,132.5,,625,,|,,,,,,,,,
14,351,,,"1,217.50","1,059.00",,,"1,217.50",,708,,120.5,,118,,---,,,,,,,,,
15,689,,,"1,099.50",689,,,"1,217.50",,708,,118,,338,,|,,,,,,,,,
16,"1,027.00",,,"1,099.50","1,027.00",,,"1,217.50",,370,,118,,338,,|,,,,,,,,,
17,"1,191.50",,,0,"1,191.50",,,"1,220.00",,"1,381.00",,"1,220.00",,132.5,,|,,,,,,,,,
18,"1,059.00",,,350,"1,191.50",,,350,,132.5,,"1,220.00",,350,,---,,,,,,,,,
19,"1,059.00",,,975,"1,191.50",,,975,,132.5,,870,,625,,---,,,,,,,,,
20,"1,555.50",,,0,"1,555.50",,,"1,220.00",,"1,248.50",,"1,220.00",,364,,|,,,,,,,,,
21,"1,191.50",,,339,"1,555.50",,,339,,364,,"1,220.00",,339,,---,,,,,,,,,
22,"1,191.50",,,678,"1,555.50",,,678,,364,,881,,339,,---,,,,,,,,,
23,"1,555.00",,,339,"1,555.00",,,678,,364,,339,,363.5,,|,,,,,,,,,
24,"1,191.50",,,982,"1,555.50",,,982,,364,,542,,304,,---,,,,,,,,,
25,"1,530.50",,,678,"1,530.50",,,982,,364,,304,,339,,|,,,,,,,,,
26,"1,191.50",,,"1,100.00","1,555.50",,,"1,100.00",,364,,238,,118,,---,,,,,,,,,
27,"1,529.50",,,982,"1,529.50",,,"1,100.00",,364,,118,,338,,|,,,,,,,,,
28,"1,191.50",,,"1,218.00","1,555.50",,,"1,218.00",,364,,120,,118,,---,,,,,,,,,
29,"1,529.50",,,"1,100.00","1,529.50",,,"1,218.00",,364,,118,,338,,|,,,,,,,,,
30,"1,753.50",,,0,"1,753.50",,,"1,220.00",,884.5,,"1,220.00",,198,,|,,,,,,,,,
31,"1,555.50",,,488,"1,753.50",,,488,,198,,"1,220.00",,488,,---,,,,,,,,,
32,"1,555.50",,,776,"1,753.50",,,776,,198,,732,,288,,---,,,,,,,,,
33,"1,555.50",,,"1,214.00","1,753.50",,,"1,214.00",,198,,444,,438,,---,,,,,,,,,
34,"1,713.50",,,776,"1,713.50",,,"1,214.00",,198,,438,,158,,|,,,,,,,,,
35,"2,241.50",,,0,"2,241.50",,,"1,220.00",,686.5,,"1,220.00",,488,,|,,,,,,,,,
36,"1,753.50",,,198,"2,241.50",,,198,,488,,"1,220.00",,198,,---,,,,,,,,,
37,"1,753.50",,,396,"2,241.50",,,396,,488,,"1,022.00",,198,,---,,,,,,,,,
38,"1,753.50",,,594,"2,241.50",,,594,,488,,824,,198,,---,,,,,,,,,
39,"1,753.50",,,712,"2,241.50",,,712,,488,,626,,118,,---,,,,,,,,,
40,"2,091.50",,,594,"2,091.50",,,712,,488,,118,,338,,|,,,,,,,,,
41,"1,753.50",,,"1,200.00","2,241.50",,,"1,200.00",,488,,508,,488,,---,,,,,,,,,
42,"1,951.50",,,712,"1,951.50",,,"1,200.00",,488,,488,,198,,|,,,,,,,,,
43,"2,149.50",,,712,"2,149.50",,,"1,200.00",,290,,488,,198,,|,,,,,,,,,
44,"2,227.50",,,712,"2,227.50",,,"1,200.00",,92,,488,,78,,|,,,,,,,,,
45,"2,439.50",,,0,"2,439.50",,,"1,220.00",,198.5,,"1,220.00",,198,,|,,,,,,,,,
46,"2,241.50",,,488,"2,439.50",,,488,,198,,"1,220.00",,488,,---,,,,,,,,,
47,"2,241.50",,,"1,151.00","2,439.50",,,"1,151.00",,198,,732,,663,,---,,,,,,,,,
48,"2,414.00",,,488,"2,414.00",,,"1,151.00",,198,,663,,172.5,,|,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 24,334.5)   24,334.5",,,,,,,,,,,Count of cuts   (1 x 48)   48,,,,,,,,,,,,,,
Layout,,,Stock #,,,Description,,,,Remnants,,Length,,Width,,Repeat,,,,,,,,,
4 of 4,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32260,,,,,,,,,,0,,,,0,,,489,,,765.5,,,
2,,28981,,,,,,,,,,0,,,,765.5,,,488,,,198,,,
3,,30504,,,,,,,,,,0,,,,963.5,,,338,,,118,,,
4,,27572,,,,,,,,,,0,,,,"1,081.50",,,338,,,118,,,
5,,28481,,,,,,,,,,489,,,,0,,,118,,,338,,,
6,,29865,,,,,,,,,,489,,,,338,,,92.5,,,362.5,,,
7,,28293,,,,,,,,,,489,,,,700.5,,,92.5,,,303,,,
8,,28910,,,,,,,,,,607,,,,0,,,663,,,172.5,,,
9,,28516,,,,,,,,,,607,,,,172.5,,,364,,,339,,,
10,,32271,,,,,,,,,,607,,,,511.5,,,303,,,92.5,,,
11,,27784,,,,,,,,,,910,,,,511.5,,,303,,,92.5,,,
12,,30348,,,,,,,,,,607,,,,604,,,488,,,198,,,
13,,29300,,,,,,,,,,607,,,,802,,,338,,,118,,,
14,,28702,,,,,,,,,,607,,,,920,,,198,,,288,,,
15,,29165,,,,,,,,,,805,,,,920,,,198,,,288,,,
16,,29027,,,,,,,,,,"1,003.00",,,,920,,,198,,,288,,,
17,,29262,,,,,,,,,,"1,270.00",,,,0,,,198,,,488,,,
18,,31323,,,,,,,,,,"1,270.00",,,,488,,,198,,,488,,,
19,,30869,,,,,,,,,,"1,468.00",,,,0,,,92.5,,,303,,,
20,,28381,,,,,,,,,,"1,468.00",,,,303,,,92.5,,,663,,,
21,,28822,,,,,,,,,,"1,560.50",,,,0,,,172.5,,,764.5,,,
22,,30403,,,,,,,,,,"1,733.00",,,,0,,,172.5,,,764.5,,,
23,,30115,,,,,,,,,,"1,905.50",,,,0,,,172.5,,,764.5,,,
24,,29951,,,,,,,,,,"2,078.00",,,,0,,,354.5,,,339,,,
25,,31124,,,,,,,,,,"2,078.00",,,,339,,,354,,,92.5,,,
26,,28935,,,,,,,,,,"2,078.00",,,,431.5,,,353.5,,,92.5,,,
27,28334,*,,,,*,,,,,,"2,078.00",,,,524,,,212.5,,,664,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,489,,,0,489,,,"1,220.00",,"2,440.00",,"1,220.00",,489,,|,,,,,,,,,
2,0,,,765.5,489,,,765.5,,489,,"1,220.00",,765.5,,---,,,,,,,,,
3,0,,,963.5,489,,,963.5,,489,,454.5,,198,,---,,,,,,,,,
4,488,,,765.5,488,,,963.5,,489,,198,,488,,|,,,,,,,,,
5,0,,,"1,081.50",489,,,"1,081.50",,489,,256.5,,118,,---,,,,,,,,,
6,338,,,963.5,338,,,"1,081.50",,489,,118,,338,,|,,,,,,,,,
7,0,,,"1,199.50",489,,,"1,199.50",,489,,138.5,,118,,---,,,,,,,,,
8,338,,,"1,081.50",338,,,"1,199.50",,489,,118,,338,,|,,,,,,,,,
9,607,,,0,607,,,"1,220.00",,"1,951.00",,"1,220.00",,118,,|,,,,,,,,,
10,489,,,338,607,,,338,,118,,"1,220.00",,338,,---,,,,,,,,,
11,489,,,700.5,607,,,700.5,,118,,882,,362.5,,---,,,,,,,,,
12,581.5,,,338,581.5,,,700.5,,118,,362.5,,92.5,,|,,,,,,,,,
13,489,,,"1,003.50",607,,,"1,003.50",,118,,519.5,,303,,---,,,,,,,,,
14,581.5,,,700.5,581.5,,,"1,003.50",,118,,303,,92.5,,|,,,,,,,,,
15,"1,270.00",,,0,"1,270.00",,,"1,220.00",,"1,833.00",,"1,220.00",,663,,|,,,,,,,,,
16,607,,,172.5,"1,270.00",,,172.5,,663,,"1,220.00",,172.5,,---,,,,,,,,,
17,607,,,511.5,"1,270.00",,,511.5,,663,,"1,047.50",,339,,---,,,,,,,,,
18,971,,,172.5,971,,,511.5,,663,,339,,364,,|,,,,,,,,,
19,607,,,604,"1,270.00",,,604,,663,,708.5,,92.5,,---,,,,,,,,,
20,910,,,511.5,910,,,604,,663,,92.5,,303,,|,,,,,,,,,
21,"1,213.00",,,511.5,"1,213.00",,,604,,360,,92.5,,303,,|,,,,,,,,,
22,607,,,802,"1,270.00",,,802,,663,,616,,198,,---,,,,,,,,,
23,"1,095.00",,,604,"1,095.00",,,802,,663,,198,,488,,|,,,,,,,,,
24,607,,,920,"1,270.00",,,920,,663,,418,,118,,---,,,,,,,,,
25,945,,,802,945,,,920,,663,,118,,338,,|,,,,,,,,,
26,607,,,"1,208.00","1,270.00",,,"1,208.00",,663,,300,,288,,---,,,,,,,,,
27,805,,,920,805,,,"1,208.00",,663,,288,,198,,|,,,,,,,,,
28,"1,003.00",,,920,"1,003.00",,,"1,208.00",,465,,288,,198,,|,,,,,,,,,
29,"1,201.00",,,920,"1,201.00",,,"1,208.00",,267,,288,,198,,|,,,,,,,,,
30,"1,468.00",,,0,"1,468.00",,,"1,220.00",,"1,170.00",,"1,220.00",,198,,|,,,,,,,,,
31,"1,270.00",,,488,"1,468.00",,,488,,198,,"1,220.00",,488,,---,,,,,,,,,
32,"1,270.00",,,976,"1,468.00",,,976,,198,,732,,488,,---,,,,,,,,,
33,"1,560.50",,,0,"1,560.50",,,"1,220.00",,972,,"1,220.00",,92.5,,|,,,,,,,,,
34,"1,468.00",,,303,"1,560.50",,,303,,92.5,,"1,220.00",,303,,---,,,,,,,,,
35,"1,468.00",,,966,"1,560.50",,,966,,92.5,,917,,663,,---,,,,,,,,,
36,"1,733.00",,,0,"1,733.00",,,"1,220.00",,879.5,,"1,220.00",,172.5,,|,,,,,,,,,
37,"1,560.50",,,764.5,"1,733.00",,,764.5,,172.5,,"1,220.00",,764.5,,---,,,,,,,,,
38,"1,905.50",,,0,"1,905.50",,,"1,220.00",,707,,"1,220.00",,172.5,,|,,,,,,,,,
39,"1,733.00",,,764.5,"1,905.50",,,764.5,,172.5,,"1,220.00",,764.5,,---,,,,,,,,,
40,"2,078.00",,,0,"2,078.00",,,"1,220.00",,534.5,,"1,220.00",,172.5,,|,,,,,,,,,
41,"1,905.50",,,764.5,"2,078.00",,,764.5,,172.5,,"1,220.00",,764.5,,---,,,,,,,,,
42,"2,078.00",,,339,"2,440.00",,,339,,362,,"1,220.00",,339,,---,,,,,,,,,
43,"2,432.50",,,0,"2,432.50",,,339,,362,,339,,354.5,,|,,,,,,,,,
44,"2,078.00",,,431.5,"2,440.00",,,431.5,,362,,881,,92.5,,---,,,,,,,,,
45,"2,432.00",,,339,"2,432.00",,,431.5,,362,,92.5,,354,,|,,,,,,,,,
46,"2,078.00",,,524,"2,440.00",,,524,,362,,788.5,,92.5,,---,,,,,,,,,
47,"2,431.50",,,431.5,"2,431.50",,,524,,362,,92.5,,353.5,,|,,,,,,,,,
48,"2,078.00",,,"1,188.00","2,440.00",,,"1,188.00",,362,,696,,664,,---,,,,,,,,,
49,"2,290.50",,,524,"2,290.50",,,"1,188.00",,362,,664,,212.5,,|,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 22,586.0)   22,586.0",,,,,,,,,,,Count of cuts   (1 x 49)   49,,,,,,,,,,,,,,
