17,,"2,286.00",,,,973,,"2,344.00",,,973,,,58,,,"1,220.00",,,973,,,---,,
18,,"2,432.00",,,,0,,"2,432.00",,,"1,220.00",,,96,,,"1,220.00",,,88,,,|,,
19,,"2,344.00",,,,"1,058.00",,"2,432.00",,,"1,058.00",,,88,,,"1,220.00",,,"1,058.00",,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,575.0)   13,575.0",,,,,,,,,,,,,,,Count of cuts   (1 x 19)   19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30106,,,,,,,,,,0,,,,0,,,"2,098.00",,,58,,,
2,,29289,,,,,,,,,,0,,,,58,,,790,,,557,,,
3,,31353,,,,,,,,,,0,,,,615,,,790,,,538,,,
4,,30374,,*,,,,,*,,,"2,098.00",,,,0,,,88,,,953,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,098.00",,,,0,,"2,098.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,098.00",,,|,,
2,,0,,,,58,,"2,098.00",,,58,,,"2,098.00",,,"1,220.00",,,58,,,---,,
3,,0,,,,615,,"2,098.00",,,615,,,"2,098.00",,,"1,162.00",,,557,,,---,,
4,,790,,,,58,,790,,,615,,,"2,098.00",,,557,,,790,,,|,,
5,,0,,,,"1,153.00",,"2,098.00",,,"1,153.00",,,"2,098.00",,,605,,,538,,,---,,
6,,790,,,,615,,790,,,"1,153.00",,,"2,098.00",,,538,,,790,,,|,,
7,,"2,186.00",,,,0,,"2,186.00",,,"1,220.00",,,342,,,"1,220.00",,,88,,,|,,
8,,"2,098.00",,,,953,,"2,186.00",,,953,,,88,,,"1,220.00",,,953,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,917.0)   9,917.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,
