Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4012,,,,,,,,,,0.0,,,,0.0,,,"1,236.0",,,774.5,,,,,
2,,4790,,,,,,,,,,"1,236.0",,,,0.0,,,"1,105.0",,,774.5,,,*,,
3,,4478,,,,,,,,,,0.0,,,,774.5,,,"2,246.0",,,272.0,,,,,
4,,4828,,,,,,,,,,0.0,,,,"1,046.5",,,750.0,,,153.0,,,*,,
5,,4774,,,,,,,,,,750.0,,,,"1,046.5",,,750.0,,,153.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
2,,3767,,,,,,,,,,0.0,,,,662.0,,,807.0,,,397.0,,,,,
3,,4162,,,,,,,,,,"1,462.0",,,,0.0,,,905.0,,,853.0,,,*,,
4,,6489,,,,,,,,,,"1,462.0",,,,853.0,,,807.0,,,333.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,462.0",,,,0.0,,"1,462.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,462.0",,,|,,,
2,,0.0,,,,662.0,,"1,462.0",,,662.0,,,"1,462.0",,,"1,220.0",,,662.0,,,---,,,
3,,0.0,,,,"1,059.0",,"1,462.0",,,"1,059.0",,,"1,462.0",,,558.0,,,397.0,,,---,,,
4,,807.0,,,,662.0,,807.0,,,"1,059.0",,,"1,462.0",,,397.0,,,807.0,,,|,,,
5,,"2,367.0",,,,0.0,,"2,367.0",,,"1,220.0",,,978.0,,,"1,220.0",,,905.0,,,|,,,
6,,"1,462.0",,,,853.0,,"2,367.0",,,853.0,,,905.0,,,"1,220.0",,,853.0,,,---,,,
7,,"1,462.0",,,,"1,186.0",,"2,367.0",,,"1,186.0",,,905.0,,,367.0,,,333.0,,,---,,,
8,,"2,269.0",,,,853.0,,"2,269.0",,,"1,186.0",,,905.0,,,333.0,,,807.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,904.0)   7,904.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7299,,,,,,,,,,0.0,,,,0.0,,,764.0,,,662.0,,,,
2,,3610,,*,,,,,*,,,0.0,,,,662.0,,,775.0,,,290.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,775.0,,,,0.0,,775.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,775.0,,,|,,
2,,0.0,,,,662.0,,775.0,,,662.0,,,775.0,,,"1,220.0",,,662.0,,,---,,
3,,764.0,,,,0.0,,764.0,,,662.0,,,775.0,,,662.0,,,764.0,,,|,,
4,,0.0,,,,952.0,,775.0,,,952.0,,,775.0,,,558.0,,,290.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,432.0)   3,432.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,,
