4,,"1,896.0",,,,0.0,,"1,896.0",,,559.5,,,678.0,,,559.5,,,134.0,,,|,,,
5,,"1,762.0",,,,558.0,,"1,896.0",,,558.0,,,134.0,,,559.5,,,558.0,,,---,,,
6,,"2,337.0",,,,0.0,,"2,337.0",,,559.5,,,544.0,,,559.5,,,441.0,,,|,,,
7,,"1,896.0",,,,539.5,,"2,337.0",,,539.5,,,441.0,,,559.5,,,539.5,,,---,,,
8,,0.0,,,,"1,099.0",,"2,440.0",,,"1,099.0",,,"2,440.0",,,660.5,,,539.5,,,---,,,
9,,710.0,,,,559.5,,710.0,,,"1,099.0",,,"2,440.0",,,539.5,,,710.0,,,|,,,
10,,"1,491.0",,,,559.5,,"1,491.0",,,"1,099.0",,,"1,730.0",,,539.5,,,781.0,,,|,,,
11,,"2,210.0",,,,559.5,,"2,210.0",,,"1,099.0",,,949.0,,,539.5,,,719.0,,,|,,,
12,,"2,288.0",,,,559.5,,"2,288.0",,,"1,099.0",,,230.0,,,539.5,,,78.0,,,|,,,
13,,"2,210.0",,,,897.5,,"2,288.0",,,897.5,,,78.0,,,539.5,,,338.0,,,---,,,
14,,338.0,,,,"1,099.0",,338.0,,,"1,220.0",,,"2,440.0",,,121.0,,,338.0,,,|,,,
15,,0.0,,,,"1,177.0",,338.0,,,"1,177.0",,,338.0,,,121.0,,,78.0,,,---,,,
16,,"1,123.0",,,,"1,099.0",,"1,123.0",,,"1,220.0",,,"2,102.0",,,121.0,,,785.0,,,|,,,
17,,338.0,,,,"1,151.5",,"1,123.0",,,"1,151.5",,,785.0,,,121.0,,,52.5,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,294.0)   11,294.0",,,,,,,,,,,,,,,Count of cuts   (1 x 17)   17,,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
3 of 6,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,36257,,,,,,,,,,0.0,,,,0.0,,,"2,051.0",,,719.0,,,,,
2,,32716,,,,,,,,,,0.0,,,,719.0,,,"2,051.0",,,360.0,,,,,
3,,36680,,,,,,,,,,0.0,,,,"1,079.0",,,842.0,,,134.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,051.0",,,,0.0,,"2,051.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,051.0",,,|,,,
2,,0.0,,,,719.0,,"2,051.0",,,719.0,,,"2,051.0",,,"1,220.0",,,719.0,,,---,,,
3,,0.0,,,,"1,079.0",,"2,051.0",,,"1,079.0",,,"2,051.0",,,501.0,,,360.0,,,---,,,
4,,0.0,,,,"1,213.0",,"2,051.0",,,"1,213.0",,,"2,051.0",,,141.0,,,134.0,,,---,,,
5,,842.0,,,,"1,079.0",,842.0,,,"1,213.0",,,"2,051.0",,,134.0,,,842.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,507.0)   7,507.0",,,,,,,,,,,,,,,Count of cuts   (1 x 5)   5,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
4 of 6,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,36519,,,,,,,,,,0.0,,,,0.0,,,"2,001.0",,,891.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,001.0",,,,0.0,,"2,001.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,001.0",,,|,,
2,,0.0,,,,891.0,,"2,001.0",,,891.0,,,"2,001.0",,,"1,220.0",,,891.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,221.0)   3,221.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
5 of 6,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33859,,,,,,,,,,0.0,,,,0.0,,,"2,001.0",,,871.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,001.0",,,,0.0,,"2,001.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,001.0",,,|,,
2,,0.0,,,,871.0,,"2,001.0",,,871.0,,,"2,001.0",,,"1,220.0",,,871.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,221.0)   3,221.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
6 of 6,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,34608,,*,,,,,*,,,0.0,,,,0.0,,,"2,051.0",,,710.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,710.0,,"2,440.0",,,710.0,,,"2,440.0",,,"1,220.0",,,710.0,,,---,,
2,,"2,051.0",,,,0.0,,"2,051.0",,,710.0,,,"2,440.0",,,710.0,,,"2,051.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,150.0)   3,150.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
