Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
57,"2,339.50",276,"2,339.50",624,120,348,118,|,,,,,,,,,,,,,,,,,
58,"2,103.50",922,"2,341.50",922,238,596,298,---,,,,,,,,,,,,,,,,,
59,"2,221.50",624,"2,221.50",922,238,298,118,|,,,,,,,,,,,,,,,,,
60,"2,339.50",624,"2,339.50",922,120,298,118,|,,,,,,,,,,,,,,,,,
61,"2,181.50",922,"2,181.50","1,220.00",238,298,78,|,,,,,,,,,,,,,,,,,
62,"2,259.50",922,"2,259.50","1,220.00",160,298,78,|,,,,,,,,,,,,,,,,,
63,"2,337.50",922,"2,337.50","1,220.00",82,298,78,|,,,,,,,,,,,,,,,,,
64,"2,434.00",0,"2,434.00","1,220.00",98.5,"1,220.00",92.5,|,,,,,,,,,,,,,,,,,
65,"2,341.50",362,"2,434.00",362,92.5,"1,220.00",362,---,,,,,,,,,,,,,,,,,
66,"2,341.50",762,"2,434.00",762,92.5,858,400,---,,,,,,,,,,,,,,,,,
67,"2,341.50","1,154.00","2,434.00","1,154.00",92.5,458,392,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 27,550.5)   27,550.5",,,,,,Count of cuts   (1 x 67)   67,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,Description,,,,Remnants,,Length,,Width,,Repeat,,,,,,,,,
2 of 3,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30326,,,,,,,,,,0,,,,0,,,660,,,439,,,
2,,31720,,,,,,,,,,0,,,,439,,,659,,,339,,,
3,,29204,,,,,,,,,,0,,,,778,,,659,,,172.5,,,
4,,31150,,,,,,,,,,0,,,,950.5,,,659,,,172.5,,,
5,,28668,,,,,,,,,,0,,,,"1,123.00",,,658,,,92.5,,,
6,,27582,,,,,,,,,,660,,,,0,,,389,,,425.5,,,
7,,28124,,,,,,,,,,660,,,,425.5,,,349,,,355,,,
8,,29284,,,,,,,,,,660,,,,780.5,,,349,,,363,,,
9,,32015,,,,,,,,,,660,,,,"1,143.50",,,317.5,,,52.5,,,
10,,31105,,,,,,,,,,"1,049.00",,,,0,,,339,,,659,,,
11,,32380,,,,,,,,,,"1,049.00",,,,659,,,338,,,158,,,
12,,31135,,,,,,,,,,"1,049.00",,,,817,,,338,,,158,,,
13,,27478,,,,,,,,,,"1,049.00",,,,975,,,338,,,118,,,
14,,30641,,,,,,,,,,"1,049.00",,,,"1,093.00",,,338,,,118,,,
15,,30963,,,,,,,,,,"1,388.00",,,,0,,,299,,,601,,,
16,,28467,,,,,,,,,,"1,388.00",,,,601,,,299,,,266,,,
17,,31654,,,,,,,,,,"1,388.00",,,,867,,,298,,,78,,,
18,,28686,,,,,,,,,,"1,388.00",,,,945,,,298,,,118,,,
19,,31119,,,,,,,,,,"1,388.00",,,,"1,063.00",,,238,,,118,,,
20,,31643,,,,,,,,,,"1,687.00",,,,0,,,239,,,393,,,
21,,27792,,,,,,,,,,"1,687.00",,,,393,,,238,,,118,,,
22,,30049,,,,,,,,,,"1,687.00",,,,511,,,118,,,438,,,
23,,29850,,,,,,,,,,"1,805.00",,,,511,,,118,,,438,,,
24,,29059,,,,,,,,,,"1,687.00",,,,949,,,158,,,238,,,
25,,30833,,,,,,,,,,"1,926.00",,,,0,,,339,,,659,,,
26,,32319,,,,,,,,,,"1,926.00",,,,659,,,339,,,418,,,
27,,31039,,,,,,,,,,"1,926.00",,,,"1,077.00",,,338,,,118,,,
28,,31890,,,,,,,,,,"2,265.00",,,,0,,,118,,,438,,,
29,,30125,,,,,,,,,,"2,265.00",,,,438,,,118,,,348,,,
30,,30229,,,,,,,,,,"2,265.00",,,,786,,,78,,,388,,,
31,,31815,,,,,,,,,,"2,383.00",,,,0,,,52.5,,,424.5,,,
32,,31489,,,,,,,,,,"2,383.00",,,,424.5,,,52.5,,,307,,,
33,,31141,,,,,,,,,,"2,383.00",,,,731.5,,,52.5,,,265,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,660,,,0,660,,,"1,220.00",,"2,440.00",,"1,220.00",,660,,|,,,,,,,,,
2,0,,,439,660,,,439,,660,,"1,220.00",,439,,---,,,,,,,,,
3,0,,,778,660,,,778,,660,,781,,339,,---,,,,,,,,,
4,659,,,439,659,,,778,,660,,339,,659,,|,,,,,,,,,
5,0,,,950.5,660,,,950.5,,660,,442,,172.5,,---,,,,,,,,,
6,659,,,778,659,,,950.5,,660,,172.5,,659,,|,,,,,,,,,
7,0,,,"1,123.00",660,,,"1,123.00",,660,,269.5,,172.5,,---,,,,,,,,,
8,659,,,950.5,659,,,"1,123.00",,660,,172.5,,659,,|,,,,,,,,,
9,0,,,"1,215.50",660,,,"1,215.50",,660,,97,,92.5,,---,,,,,,,,,
10,658,,,"1,123.00",658,,,"1,215.50",,660,,92.5,,658,,|,,,,,,,,,
11,"1,049.00",,,0,"1,049.00",,,"1,220.00",,"1,780.00",,"1,220.00",,389,,|,,,,,,,,,
12,660,,,425.5,"1,049.00",,,425.5,,389,,"1,220.00",,425.5,,---,,,,,,,,,
13,660,,,780.5,"1,049.00",,,780.5,,389,,794.5,,355,,---,,,,,,,,,
14,"1,009.00",,,425.5,"1,009.00",,,780.5,,389,,355,,349,,|,,,,,,,,,
15,660,,,"1,143.50","1,049.00",,,"1,143.50",,389,,439.5,,363,,---,,,,,,,,,
16,"1,009.00",,,780.5,"1,009.00",,,"1,143.50",,389,,363,,349,,|,,,,,,,,,
17,660,,,"1,196.00","1,049.00",,,"1,196.00",,389,,76.5,,52.5,,---,,,,,,,,,
18,977.5,,,"1,143.50",977.5,,,"1,196.00",,389,,52.5,,317.5,,|,,,,,,,,,
19,"1,388.00",,,0,"1,388.00",,,"1,220.00",,"1,391.00",,"1,220.00",,339,,|,,,,,,,,,
20,"1,049.00",,,659,"1,388.00",,,659,,339,,"1,220.00",,659,,---,,,,,,,,,
21,"1,049.00",,,817,"1,388.00",,,817,,339,,561,,158,,---,,,,,,,,,
22,"1,387.00",,,659,"1,387.00",,,817,,339,,158,,338,,|,,,,,,,,,
23,"1,049.00",,,975,"1,388.00",,,975,,339,,403,,158,,---,,,,,,,,,
24,"1,387.00",,,817,"1,387.00",,,975,,339,,158,,338,,|,,,,,,,,,
25,"1,049.00",,,"1,093.00","1,388.00",,,"1,093.00",,339,,245,,118,,---,,,,,,,,,
26,"1,387.00",,,975,"1,387.00",,,"1,093.00",,339,,118,,338,,|,,,,,,,,,
27,"1,049.00",,,"1,211.00","1,388.00",,,"1,211.00",,339,,127,,118,,---,,,,,,,,,
28,"1,387.00",,,"1,093.00","1,387.00",,,"1,211.00",,339,,118,,338,,|,,,,,,,,,
29,"1,687.00",,,0,"1,687.00",,,"1,220.00",,"1,052.00",,"1,220.00",,299,,|,,,,,,,,,
30,"1,388.00",,,601,"1,687.00",,,601,,299,,"1,220.00",,601,,---,,,,,,,,,
31,"1,388.00",,,867,"1,687.00",,,867,,299,,619,,266,,---,,,,,,,,,
32,"1,388.00",,,945,"1,687.00",,,945,,299,,353,,78,,---,,,,,,,,,
33,"1,686.00",,,867,"1,686.00",,,945,,299,,78,,298,,|,,,,,,,,,
34,"1,388.00",,,"1,063.00","1,687.00",,,"1,063.00",,299,,275,,118,,---,,,,,,,,,
35,"1,686.00",,,945,"1,686.00",,,"1,063.00",,299,,118,,298,,|,,,,,,,,,
36,"1,388.00",,,"1,181.00","1,687.00",,,"1,181.00",,299,,157,,118,,---,,,,,,,,,
37,"1,626.00",,,"1,063.00","1,626.00",,,"1,181.00",,299,,118,,238,,|,,,,,,,,,
38,"1,926.00",,,0,"1,926.00",,,"1,220.00",,753,,"1,220.00",,239,,|,,,,,,,,,
39,"1,687.00",,,393,"1,926.00",,,393,,239,,"1,220.00",,393,,---,,,,,,,,,
40,"1,687.00",,,511,"1,926.00",,,511,,239,,827,,118,,---,,,,,,,,,
41,"1,925.00",,,393,"1,925.00",,,511,,239,,118,,238,,|,,,,,,,,,
42,"1,687.00",,,949,"1,926.00",,,949,,239,,709,,438,,---,,,,,,,,,
43,"1,805.00",,,511,"1,805.00",,,949,,239,,438,,118,,|,,,,,,,,,
44,"1,923.00",,,511,"1,923.00",,,949,,121,,438,,118,,|,,,,,,,,,
45,"1,687.00","1,187.00","1,926.00","1,187.00",239,271,238,---,,,,,,,,,,,,,,,,,
46,"1,845.00",949,"1,845.00","1,187.00",239,238,158,|,,,,,,,,,,,,,,,,,
47,"2,265.00",0,"2,265.00","1,220.00",514,"1,220.00",339,|,,,,,,,,,,,,,,,,,
48,"1,926.00",659,"2,265.00",659,339,"1,220.00",659,---,,,,,,,,,,,,,,,,,
49,"1,926.00","1,077.00","2,265.00","1,077.00",339,561,418,---,,,,,,,,,,,,,,,,,
50,"1,926.00","1,195.00","2,265.00","1,195.00",339,143,118,---,,,,,,,,,,,,,,,,,
51,"2,264.00","1,077.00","2,264.00","1,195.00",339,118,338,|,,,,,,,,,,,,,,,,,
52,"2,383.00",0,"2,383.00","1,220.00",175,"1,220.00",118,|,,,,,,,,,,,,,,,,,
53,"2,265.00",438,"2,383.00",438,118,"1,220.00",438,---,,,,,,,,,,,,,,,,,
54,"2,265.00",786,"2,383.00",786,118,782,348,---,,,,,,,,,,,,,,,,,
55,"2,265.00","1,174.00","2,383.00","1,174.00",118,434,388,---,,,,,,,,,,,,,,,,,
56,"2,343.00",786,"2,343.00","1,174.00",118,388,78,|,,,,,,,,,,,,,,,,,
57,"2,435.50",0,"2,435.50","1,220.00",57,"1,220.00",52.5,|,,,,,,,,,,,,,,,,,
58,"2,383.00",424.5,"2,435.50",424.5,52.5,"1,220.00",424.5,---,,,,,,,,,,,,,,,,,
59,"2,383.00",731.5,"2,435.50",731.5,52.5,795.5,307,---,,,,,,,,,,,,,,,,,
60,"2,383.00",996.5,"2,435.50",996.5,52.5,488.5,265,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 24,441.5)   24,441.5",,,,,,Count of cuts   (1 x 60)   60,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,29773,,,,,,,,,,0,,,,0,,,92.5,,,658,,,*
2,,30141,,,,,,,,,,92.5,,,,0,,,92.5,,,600,,,*
3,,29064,,,,,,,,,,185,,,,0,,,92.5,,,600,,,*
4,,29460,,,,,,,,,,277.5,,,,0,,,78,,,388,,,*
5,,31359,,,,,,,,,,355.5,,,,0,,,78,,,388,,,*
6,,29900,,,,,,,,,,0,,,,658,,,198,,,438,,,*
7,,31441,,,,,,,,,,198,,,,658,,,198,,,438,,,*
8,,30029,,*,,,,,*,,,0,,,,"1,096.00",,,388,,,78,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,433.5,,,,0,,433.5,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,433.5,,,|,,
2,,0,,,,658,,433.5,,,658,,,433.5,,,"1,220.00",,,658,,,---,,
3,,92.5,,,,0,,92.5,,,658,,,433.5,,,658,,,92.5,,,|,,
4,,185,,,,0,,185,,,658,,,341,,,658,,,92.5,,,|,,
5,,92.5,,,,600,,185,,,600,,,92.5,,,658,,,600,,,---,,
6,,277.5,,,,0,,277.5,,,658,,,248.5,,,658,,,92.5,,,|,,
7,,185,,,,600,,277.5,,,600,,,92.5,,,658,,,600,,,---,,
8,,355.5,,,,0,,355.5,,,658,,,156,,,658,,,78,,,|,,
9,,277.5,,,,388,,355.5,,,388,,,78,,,658,,,388,,,---,,
10,,355.5,,,,388,,433.5,,,388,,,78,,,658,,,388,,,---,,
11,,0,,,,"1,096.00",,433.5,,,"1,096.00",,,433.5,,,562,,,438,,,---,,
12,,198,,,,658,,198,,,"1,096.00",,,433.5,,,438,,,198,,,|,,
13,,396,,,,658,,396,,,"1,096.00",,,235.5,,,438,,,198,,,|,,
14,,0,,,,"1,174.00",,433.5,,,"1,174.00",,,433.5,,,124,,,78,,,---,,
15,,388,,,,"1,096.00",,388,,,"1,174.00",,,433.5,,,78,,,388,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 6,447.5)   6,447.5",,Count of cuts   (1 x 15)   15,,,,,,,,,,,,,,,,,,,,,,,
